"","x"
"1","MARCH3"
"2","SEPT3"
"3","MARCH8"
"4","SEPT8"
"5","MARCH9"
"6","A3GALT2"
"7","A4GALT"
"8","AANAT"
"9","AARD"
"10","ABCA4"
"11","ABCA5"
"12","ABCA7"
"13","ABCB1"
"14","ABCB6"
"15","ABCB9"
"16","ABCC4"
"17","ABCF2"
"18","ABHD15"
"19","ABHD17C"
"20","ABHD4"
"21","ABI2"
"22","ABLIM1"
"23","ABLIM3"
"24","ABTB1"
"25","ABTB2"
"26","AC004223.3"
"27","AC005551.1"
"28","AC008560.1"
"29","AC008878.3"
"30","AC009086.2"
"31","AC010616.1"
"32","AC012309.1"
"33","AC068580.4"
"34","AC068775.1"
"35","AC068775.2"
"36","AC073111.5"
"37","AC090527.2"
"38","AC092073.1"
"39","AC099489.1"
"40","AC104581.1"
"41","AC106782.1"
"42","AC107871.1"
"43","AC118553.2"
"44","AC119396.1"
"45","ACAT2"
"46","ACBD4"
"47","ACBD7"
"48","ACE"
"49","ACKR3"
"50","ACOT1"
"51","ACOT2"
"52","ACOXL"
"53","ACSBG2"
"54","ACSL1"
"55","ACSL4"
"56","ACSL6"
"57","ACSM1"
"58","ACSM2A"
"59","ACSM2B"
"60","ACSS1"
"61","ACTC1"
"62","ACTG2"
"63","ACTL10"
"64","ACTR10"
"65","ACVR1B"
"66","ACVR2A"
"67","ACVR2B"
"68","ADA2"
"69","ADAM11"
"70","ADAM19"
"71","ADAM8"
"72","ADAM9"
"73","ADAMTS10"
"74","ADAMTS14"
"75","ADAMTS16"
"76","ADAMTS17"
"77","ADAMTS7"
"78","ADAT3"
"79","ADCK5"
"80","ADCY1"
"81","ADCY6"
"82","ADCY7"
"83","ADD2"
"84","ADD3"
"85","ADGRA2"
"86","ADGRA3"
"87","ADGRD1"
"88","ADGRE1"
"89","ADGRE2"
"90","ADGRG1"
"91","ADGRG3"
"92","ADGRL2"
"93","ADM"
"94","ADNP2"
"95","ADO"
"96","ADPRH"
"97","ADPRHL1"
"98","ADRA2B"
"99","ADTRP"
"100","AEBP1"
"101","AFAP1"
"102","AFAP1L2"
"103","AFMID"
"104","AGA"
"105","AGAP1"
"106","AGAP3"
"107","AGAP5"
"108","AGAP9"
"109","AGBL3"
"110","AGBL4"
"111","AGER"
"112","AGFG2"
"113","AGK"
"114","AGO2"
"115","AGPAT4"
"116","AGPAT5"
"117","AGRN"
"118","AGTRAP"
"119","AHCYL2"
"120","AHI1"
"121","AIG1"
"122","AIM2"
"123","AJUBA"
"124","AK4"
"125","AK5"
"126","AKAP1"
"127","AKAP12"
"128","AKAP5"
"129","AKR1B10"
"130","AKR1C1"
"131","AKTIP"
"132","AL032819.3"
"133","AL139300.1"
"134","AL449266.1"
"135","ALCAM"
"136","ALDH16A1"
"137","ALDH1A1"
"138","ALDH1A3"
"139","ALDH1B1"
"140","ALDH1L2"
"141","ALDH5A1"
"142","ALDH7A1"
"143","ALDOC"
"144","ALG2"
"145","ALKAL2"
"146","ALOX12"
"147","ALOX5"
"148","ALPK1"
"149","ALS2"
"150","AMER1"
"151","AMH"
"152","AMIGO1"
"153","AMIGO3"
"154","AMPD3"
"155","AMPH"
"156","AMT"
"157","AMY2B"
"158","AMZ1"
"159","ANAPC15"
"160","ANG"
"161","ANGPTL4"
"162","ANK1"
"163","ANK3"
"164","ANKDD1A"
"165","ANKEF1"
"166","ANKRA2"
"167","ANKRD23"
"168","ANKRD24"
"169","ANKRD29"
"170","ANKRD33B"
"171","ANKRD34A"
"172","ANKRD35"
"173","ANKRD37"
"174","ANKRD6"
"175","ANKS6"
"176","ANKZF1"
"177","ANO7"
"178","ANO8"
"179","ANO9"
"180","ANTXR2"
"181","ANXA1"
"182","ANXA2"
"183","ANXA2R"
"184","ANXA3"
"185","ANXA5"
"186","ANXA9"
"187","AP000275.2"
"188","AP001273.2"
"189","AP4S1"
"190","APAF1"
"191","APBA1"
"192","APBB1"
"193","APBB1IP"
"194","APBB2"
"195","APBB3"
"196","APLN"
"197","APLP1"
"198","APOBEC3B"
"199","APOBEC3H"
"200","APOBR"
"201","APOC2"
"202","APOC4"
"203","APOD"
"204","APOL3"
"205","APOL4"
"206","APOLD1"
"207","APP"
"208","AQP3"
"209","ARAP2"
"210","AREG"
"211","ARFGEF3"
"212","ARG1"
"213","ARG2"
"214","ARHGAP12"
"215","ARHGAP25"
"216","ARHGAP26"
"217","ARHGAP31"
"218","ARHGAP39"
"219","ARHGAP4"
"220","ARHGEF11"
"221","ARHGEF12"
"222","ARHGEF3"
"223","ARHGEF39"
"224","ARHGEF4"
"225","ARHGEF40"
"226","ARID3A"
"227","ARID5A"
"228","ARL11"
"229","ARL13A"
"230","ARL3"
"231","ARL4D"
"232","ARL5B"
"233","ARL8B"
"234","ARMC12"
"235","ARMC2"
"236","ARMC5"
"237","ARMC9"
"238","ARMCX1"
"239","ARMCX2"
"240","ARMCX4"
"241","ARNT2"
"242","ARNTL2"
"243","ARRDC4"
"244","ARRDC5"
"245","ARSB"
"246","ARTN"
"247","ASAH2"
"248","ASCL1"
"249","ASCL2"
"250","ASCL5"
"251","ASGR1"
"252","ASIC3"
"253","ASNS"
"254","ASPDH"
"255","ASPH"
"256","ASPHD1"
"257","ASPHD2"
"258","ASPRV1"
"259","ASS1"
"260","ASTL"
"261","ASTN2"
"262","ATAD3A"
"263","ATAD3B"
"264","ATF3"
"265","ATF5"
"266","ATG16L2"
"267","ATG9B"
"268","ATM"
"269","ATOH8"
"270","ATP10A"
"271","ATP10D"
"272","ATP12A"
"273","ATP13A3"
"274","ATP23"
"275","ATP2A2"
"276","ATP2B1"
"277","ATP2C2"
"278","ATP5F1"
"279","ATP6AP1L"
"280","ATP6V0A1"
"281","ATP6V0A4"
"282","ATP6V1C2"
"283","ATP6V1G2"
"284","ATP7A"
"285","ATP8B2"
"286","ATP8B3"
"287","ATP8B4"
"288","ATP9A"
"289","ATRNL1"
"290","ATXN2"
"291","AUTS2"
"292","AVEN"
"293","AVPR2"
"294","AXIN2"
"295","AZIN2"
"296","B3GALNT1"
"297","B3GALT4"
"298","B3GAT2"
"299","B3GNT4"
"300","B3GNT5"
"301","B4GAT1"
"302","BACE1"
"303","BAHCC1"
"304","BAIAP2L1"
"305","BAIAP2L2"
"306","BARX1"
"307","BARX2"
"308","BATF"
"309","BATF3"
"310","BBC3"
"311","BBS12"
"312","BCAN"
"313","BCAR1"
"314","BCAT1"
"315","BCL11B"
"316","BCL2A1"
"317","BCL2L1"
"318","BCL2L11"
"319","BCL2L2"
"320","BCL6B"
"321","BCL7A"
"322","BCL9"
"323","BCLAF1"
"324","BCO2"
"325","BCOR"
"326","BCORL1"
"327","BEAN1"
"328","BEND3"
"329","BEND5"
"330","BEX2"
"331","BEX3"
"332","BFSP1"
"333","BHLHE22"
"334","BICDL2"
"335","BID"
"336","BIN1"
"337","BIN2"
"338","BIRC3"
"339","BIRC7"
"340","BLVRB"
"341","BMF"
"342","BMT2"
"343","BNIP3"
"344","BNIP3L"
"345","BOLA1"
"346","BOP1"
"347","BORCS8"
"348","BRD3"
"349","BRD9"
"350","BRSK1"
"351","BSPRY"
"352","BTBD19"
"353","BTBD3"
"354","BTG2"
"355","BTLA"
"356","BTN3A1"
"357","BTN3A2"
"358","BTN3A3"
"359","BTNL8"
"360","BVES"
"361","BYSL"
"362","C10orf128"
"363","C10orf67"
"364","C10orf99"
"365","C11orf21"
"366","C11orf74"
"367","C11orf95"
"368","C11orf96"
"369","C14orf79"
"370","C15orf48"
"371","C15orf53"
"372","C16orf45"
"373","C16orf54"
"374","C16orf86"
"375","C16orf91"
"376","C16orf92"
"377","C17orf51"
"378","C17orf78"
"379","C18orf54"
"380","C19orf38"
"381","C19orf44"
"382","C19orf81"
"383","C1orf109"
"384","C1orf146"
"385","C1orf162"
"386","C1orf194"
"387","C1orf198"
"388","C1orf21"
"389","C1orf53"
"390","C1QTNF12"
"391","C1QTNF3"
"392","C1QTNF6"
"393","C1S"
"394","C2"
"395","C20orf204"
"396","C20orf96"
"397","C21orf58"
"398","C21orf62"
"399","C22orf23"
"400","C2CD2"
"401","C2CD4D"
"402","C2orf15"
"403","C2orf16"
"404","C2orf66"
"405","C2orf72"
"406","C2orf81"
"407","C3"
"408","C3orf14"
"409","C3orf33"
"410","C3orf58"
"411","C3orf80"
"412","C4BPB"
"413","C4orf26"
"414","C4orf47"
"415","C4orf50"
"416","C5"
"417","C5orf34"
"418","C5orf58"
"419","C6orf223"
"420","C6orf52"
"421","C7orf31"
"422","C7orf61"
"423","C8G"
