,CAR,Day
CD19_Donor76_Day11,CD19,11
CD19_Donor76_Day15,CD19,15
CD19_Donor76_Day21,CD19,21
CD19_Donor86_Day11,CD19,11
CD19_Donor86_Day15,CD19,15
CD19_Donor86_Day21,CD19,21
CD19_Donor90_Day11,CD19,11
CD19_Donor90_Day15,CD19,15
CD19_Donor90_Day21,CD19,21
Control_Donor76_Day0,Control,0
Control_Donor86_Day0,Control,0
Control_Donor90_Day0,Control,0
HA_Donor76_Day11,HA,11
HA_Donor76_Day15,HA,15
HA_Donor76_Day21,HA,21
HA_Donor86_Day11,HA,11
HA_Donor86_Day15,HA,15
HA_Donor86_Day21,HA,21
HA_Donor90_Day11,HA,11
HA_Donor90_Day15,HA,15
HA_Donor90_Day21,HA,21
