,CD19_Donor76_Day11,CD19_Donor76_Day15,CD19_Donor76_Day21,CD19_Donor86_Day11,CD19_Donor86_Day15,CD19_Donor86_Day21,CD19_Donor90_Day11,CD19_Donor90_Day15,CD19_Donor90_Day21,Control_Donor76_Day0,Control_Donor86_Day0,Control_Donor90_Day0,HA_Donor76_Day11,HA_Donor76_Day15,HA_Donor76_Day21,HA_Donor86_Day11,HA_Donor86_Day15,HA_Donor86_Day21,HA_Donor90_Day11,HA_Donor90_Day15,HA_Donor90_Day21,cluster,Genesymbol,
FGR,-0.685479916,-0.661122573,-0.354643655,-0.657660192,-0.321218565,-0.366310971,-0.658563975,-0.322900737,-0.146286139,1.529011432,2.43606545,2.879613763,-0.50332431,-0.452054464,-0.331915875,0.11661311,-0.269990153,-0.0951853,-0.502761725,-0.485830357,-0.146054848,C1,FGR,ENSG00000000938.12
CFH,-0.971986554,-0.508386774,1.001852264,-0.441232976,0.504901207,1.718873019,-0.481215323,0.120363268,1.248031437,1.504242199,1.779190475,1.281870845,-0.92510613,-1.071419433,-0.898817124,-0.366475782,-0.777460625,-0.899820343,-0.419822935,-0.720239114,-0.6773416,C2,CFH,ENSG00000000971.15
STPG1,0.468284415,-0.029533419,-0.602811195,1.305252174,0.752492955,-0.593373591,0.921919679,0.684899478,-0.029081174,-2.383940693,-0.412880401,-2.264430565,-1.055867348,0.666307895,0.419989081,0.725892807,1.432576038,-0.111570665,-0.144307896,0.364153056,-0.113970632,C1,STPG1,ENSG00000001460.17
ENPP4,-0.135805184,-0.857433125,-1.64526896,0.083958503,-0.187243138,-0.851347322,0.346852286,0.142821669,-0.811716556,-2.750409783,-0.894300791,0.59396907,0.465407156,0.487232343,0.243078817,0.928879283,0.969670007,0.801354811,1.308830216,1.008953923,0.752516775,C3,ENPP4,ENSG00000001561.6
CYP51A1,-0.466995451,0.539266099,0.803163849,-0.974846993,0.485370993,1.003309398,-0.97860261,0.075451767,0.647569349,-2.729073577,-2.171168136,-0.408875471,0.65813867,-0.059386051,0.874520466,0.675517574,0.298417234,0.66534329,0.822411633,-0.033075713,0.27354368,C4,CYP51A1,ENSG00000001630.15
RAD52,1.502055582,-0.597822984,-1.236711937,0.898010814,-0.216773043,-0.270099606,1.170989324,-2.213474078,-0.672369678,-1.151986888,0.949345318,0.549326111,0.524411489,0.027967944,0.855812155,0.150530845,-1.672828781,1.099061651,-0.001015851,0.697723542,-0.392151931,C1,RAD52,ENSG00000002016.17
LAP3,0.077471282,0.672405753,0.68763151,-0.227495822,0.730141694,0.531964485,-0.133286872,0.691093234,0.56116064,-2.9803341,-2.093890013,-1.548582135,0.317387471,0.209739001,0.406641862,0.954611391,0.592517346,0.126000516,0.189071046,0.310461271,-0.074709562,C4,LAP3,ENSG00000002549.12
ALS2,0.118960693,0.69312379,0.007687631,0.412098339,0.393557707,0.180062125,-0.049394491,0.106445983,0.581376521,-2.637830637,-1.826751652,-0.941184248,-0.117508665,0.295015444,0.984236308,-0.945067864,0.986423749,1.0804348,-1.248848006,0.744746115,1.182416358,C4,ALS2,ENSG00000003393.14
CFLAR,-0.596048795,-0.336950683,-0.316773139,-0.685581945,-0.640092036,-0.181591376,-0.278996608,-0.162446582,-0.011123975,-2.848569552,-1.427370981,-0.734456759,0.735091561,0.915271512,0.913997137,0.65986388,0.86976137,1.155497874,0.867213414,0.956640252,1.146665432,C5,CFLAR,ENSG00000003402.19
TFPI,-0.812603048,-0.27038799,-0.951198496,-1.074404869,-0.976839772,-0.810301883,-0.897008192,-0.474175745,0.592101161,-1.460812429,-0.535849644,0.220760175,-0.33291412,0.924087239,1.080804603,-0.191077837,0.317099945,0.895940906,0.791786432,1.677086741,2.287906824,C5,TFPI,ENSG00000003436.15
MTMR7,0.836076387,0.581748507,-1.702364818,0.865379226,0.601110334,-1.034365802,0.61140214,0.19158899,-0.394864018,-2.284316365,-2.033933131,0.350327597,0.132241461,0.242770689,1.186816167,-0.735559846,0.919916028,0.85303431,0.26474956,0.174312205,0.37393038,C1,MTMR7,ENSG00000003987.13
PLXND1,-0.344981063,-0.895587155,-0.873636942,-0.068206551,-0.923679675,-0.53425139,0.119531856,-0.561604455,-0.575349248,1.717200799,1.967136904,2.882587128,0.091085432,-0.371329337,-0.629574235,0.564093005,-0.263144635,-0.42310745,-0.277083289,-0.395270157,-0.204829543,C1,PLXND1,ENSG00000004399.12
CD38,1.004407846,0.312863411,0.337460381,1.239873157,-0.146242737,-0.432772343,0.837788035,-0.386453763,-0.13758576,-2.613697248,-2.163068002,-1.254118982,0.809012865,0.756486615,0.071284952,1.056682114,0.259143987,0.72468992,-0.144187487,-0.300275509,0.168708549,C1,CD38,ENSG00000004468.12
ZMYND10,2.106503049,0.004857296,0.083938793,1.672708041,-1.020018964,-0.386539249,1.635185714,0.990513169,-0.077339825,-1.080777377,-0.433260815,0.998304045,-0.047591391,0.578893044,-1.529322747,-0.046155646,-0.823344042,-1.033623564,-0.28329237,-0.344985177,-0.964651985,C2,ZMYND10,ENSG00000004838.13
MCUB,1.12507774,0.137156785,1.021830044,1.61118483,0.476462953,0.289090517,1.066550439,0.312995175,0.232113321,-0.227678578,1.973304102,0.622467226,-0.61285595,-0.76486506,-1.003374017,-0.462696087,-0.91333825,-1.327828463,-1.035162966,-1.019892765,-1.500540997,C2,MCUB,ENSG00000005059.15
DHX33,-0.300294111,1.12984334,0.339185885,-0.825168135,1.234087401,0.538684378,-0.501667358,1.260859348,0.434625466,-2.538410991,-1.815758002,-1.351692821,-0.139939446,0.468521695,0.778735632,-0.278737345,0.74207964,0.092366447,-0.232983812,0.942881312,0.022781478,C4,DHX33,ENSG00000005100.12
MEOX1,2.391049223,1.172820428,-0.169702709,1.187461414,0.149451271,-0.762930128,0.601691235,1.512516212,1.176281779,0.173007057,-0.396173981,0.047115474,-0.924068011,-1.116683757,-0.827016989,-0.511310605,-0.646579585,-1.188085925,-0.210083006,-0.413529316,-1.245230081,C2,MEOX1,ENSG00000005102.12
THSD7A,-0.817098166,-0.799638533,-0.817098166,-0.801700994,-0.701233604,-0.817098166,-0.817098166,-0.803583387,-0.798107876,-0.817098166,-0.817098166,-0.802159221,0.446961774,1.328934986,1.035004164,0.092235628,0.985349555,1.554055525,1.179087743,1.423040197,1.564343039,C5,THSD7A,ENSG00000005108.15
LIG3,0.09398458,0.403086497,0.661106931,-0.731369649,0.645669419,0.332728435,-0.354867845,0.140538335,0.292847292,-2.487324882,-2.307341117,-1.459975822,1.152075027,1.252092546,0.562916688,0.463656224,0.499790154,-0.116526195,0.610601864,0.580901914,-0.234590398,C4,LIG3,ENSG00000005156.11
FAM214B,0.902662359,-0.026970441,-0.663935905,0.875475692,-0.203723295,-0.941189298,1.106613911,0.104073006,-1.227260794,-2.206978266,-1.566783386,-0.626653113,1.117101077,1.042527543,-0.823050545,1.285444155,0.600764958,-0.154584761,1.143268226,0.446988743,-0.183789866,C1,FAM214B,ENSG00000005238.19
TSPOAP1,0.624295798,0.244260591,0.131784472,0.441973825,0.496626936,0.887900886,0.969815859,1.356226687,1.052803759,-0.07821665,-0.021861189,0.856118205,-2.344883763,0.461935288,-0.70920787,-1.343020441,0.466423628,-0.320889204,-2.135345266,-0.172774839,-0.863966715,C2,TSPOAP1,ENSG00000005379.15
RHBDD2,-1.419934217,0.06507188,1.524031409,-1.315522109,0.086570492,1.034855824,-1.784585643,0.566979727,0.945849491,1.339100527,0.613372557,0.530328065,-1.435560408,0.205765119,-0.444331371,-1.128352229,0.07698802,0.588419581,-1.171126568,0.374843458,0.747236394,C4,RHBDD2,ENSG00000005486.16
