"","x"
"AANAT",0.0260020546460563
"ABCB1",0.0441322175755903
"ABLIM3",0.0433485848806044
"ABTB2",0.0296827135489609
"AC068580.4",0.0446622188524916
"AC068775.2",0.0404954736016955
"AC090527.2",0.0374866516890029
"ACSL1",0.0398117142484116
"ACSL4",0.0365978142890827
"ACSM1",0.0340237976624029
"ACSM2A",0.0387218010024926
"ACTC1",0.0366771046036466
"ACTG2",0.0229811407318261
"ADAM9",0.0422479631524407
"ADCY1",0.0436236930947111
"ADCY6",0.0458258315718489
"ADGRD1",0.046209965285439
"ADGRG1",0.0469669882781614
"ADNP2",0.040830282072023
"ADPRH",0.0432291328225841
"ADPRHL1",0.0232947089353943
"AFAP1L2",0.046140956486589
"AGFG2",0.040303776334427
"AGK",0.0364178220780344
"AGPAT4",0.0319567765215727
"AHI1",0.0442765017310412
"AKAP5",0.0459699631182898
"AMER1",0.0453021583519596
"ANK1",0.0440236823090861
"ANKRD33B",0.0424553542372128
"ANO7",0.0418134827206297
"APBB2",0.0488139415847757
"APBB3",0.020726940277518
"APOBEC3B",0.0365839568094823
"APOD",0.039933558683717
"APOL4",0.0300385156751691
"AREG",0.035447701311327
"ARG2",0.0404159463611907
"ARHGEF12",0.0453548861910324
"ARHGEF40",0.0383836063497493
"ARL3",0.0426841815951885
"ARMC9",0.0367769109408266
"ARMCX4",0.0425656836469953
"ARNT2",0.0453440160692147
"ASAH2",0.0356919019236826
"ASPHD1",0.0446963947308516
"ASTL",0.0308129264768078
"ATF3",0.0480218468467388
"ATOH8",0.0233994182790693
"ATP8B4",0.0425392507223943
"ATP9A",0.0472081522928469
"B3GNT5",0.0456361236436792
"BARX2",0.0464036894443505
"BATF3",0.038908868113383
"BBS12",0.0415725773360166
"BCAR1",0.0295382170741643
"BCAT1",0.0456366238842833
"BEAN1",0.0290960728178038
"BEND3",0.0379923611187691
"BHLHE22",0.0403119800864194
"BMF",0.0440992869759117
"BTNL8",0.0457382592952789
"BVES",0.0440897455703211
"C14orf79",0.0258932779737511
"C17orf51",0.0254431487914972
"C1orf194",0.0287862629723862
"C1orf198",0.047097512516531
"C22orf23",0.0328664841557456
"C2orf16",0.0414014654759344
"C2orf66",0.0400321449510379
"C3",0.0456940911830509
"C3orf80",0.0379693174130901
"C4orf26",0.0408140595260174
"C8G",0.0233423315388568
"CABLES1",0.034996048494896
"CAMK1",0.0442379673042749
"CAMK2B",0.0443199462341734
"CAMK2N2",0.0162733686235447
"CARD10",0.0391529556489718
"CARMIL3",0.0481706585882946
"CASQ1",0.039423635030725
"CATSPER1",0.0438005351972229
"CAVIN3",0.0447890754854613
"CBY1",0.0176208236498281
"CCDC173",0.0306979336764409
"CCDC184",0.0413854077200142
"CCDC6",0.0480448643080244
"CCL18",0.0361227008898824
"CCL22",0.044251047420952
"CCL3",0.0415290081154225
"CCL3L3",0.0299719220323939
"CCL4",0.0412964327356339
"CCL4L2",0.0269910467182291
"CCNA1",0.0372401240128483
"CCNJL",0.0429715027648128
"CD226",0.0489230014539463
"CD276",0.0406372907127283
"CD300LB",0.0417736816862793
"CD70",0.0398303966809566
"CD82",0.0401059882680293
"CDC42BPA",0.042635414179754
"CDHR1",0.0446192855609748
"CDK6",0.0408208297058742
"CDKN1A",0.0326510653350073
"CEBPB",0.038439912010894
"CEBPD",0.0397572643007023
"CFLAR",0.0466446362586464
"CLECL1",0.0445550180360471
"CLIC4",0.0442786237254566
"COCH",0.0422032199086527
"COL16A1",0.0360560692264089
"COL6A5",0.040248302836161
"COL7A1",0.0417731276455244
"COL9A2",0.0459072182144909
"COLCA2",0.0372934798822094
"COPG2",0.0407330898413072
"CPNE6",0.0354187412593059
"CPNE8",0.0432443047128196
"CPXM1",0.0362402858334926
"CRTAM",0.0421264963163114
"CRYAB",0.0366442248418975
"CSF1",0.0466852204295212
"CSNK1G3",0.0440695939588785
"CSRP2",0.0273187348186986
"CSRP3",0.0295771692082744
"CST6",0.04348184039667
"CTDP1",0.0378385130653999
"CTHRC1",0.0416913647609774
"CTLA4",0.0400237872877551
"CTNNA1",0.0397284048563849
"CTNND1",0.0348944274579223
"CTSB",0.0462837548814749
"CTSH",0.0393268290759301
"CTTN",0.0458766380869023
"CXCL10",0.0447530431768333
"CXCL13",0.0315729122782253
"CXCR5",0.0371079254658456
"CYBRD1",0.0390820304391928
"CYFIP1",0.0444212742988353
"CYP1B1",0.0401819136443693
"CYP27B1",0.0322754230316779
"CYP7B1",0.0441364062340055
"DAPK2",0.0363714632173708
"DDIT3",0.0402085760203537
"DENND3",0.0412568580945713
"DEPDC7",0.0428818336281043
"DMD",0.0479450791302008
"DNAH7",0.0188411087099316
"DNAJB13",0.0342805923967958
"DNAJB9",0.0327788594904136
"DNAJC12",0.0409232514725993
