Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-6783783,"Interleukin-10 signaling",16,86,0.005494154475180477,1.8918200339612667E-12,1.2013057215654044E-9,3,15,9.891849116328145E-4,9606,Homo sapiens,"CXCL10;IL1A;CCL22;CSF1;CCL3L3;CCL4;CCL3;PTGS2","","R-HSA-8937656;R-HSA-6784160;R-HSA-6790029"
R-HSA-449147,"Signaling by Interleukins",32,646,0.04127004408100684,2.970421519865596E-8,9.416236217973939E-6,88,505,0.03330255869163809,9606,Homo sapiens,"DUSP4;SNAP25;CCL22;CEBPD;CSF1;IL26;CCL3L3;EBI3;TWIST1;PTGS2;PTPN14;IL1A;CXCL10;IFNG;IL2RA;CCL4;CCL3;HMOX1","","R-HSA-6785895;R-HSA-450054;R-HSA-8950537;R-HSA-912527;R-HSA-452100;R-HSA-508292;R-HSA-452097;R-HSA-446862;R-HSA-450063;R-HSA-8984963;R-HSA-452108;R-HSA-8950405;R-HSA-446868;R-HSA-8983835;R-HSA-8983834;R-HSA-203797;R-HSA-452122;R-HSA-913424;R-HSA-8950441;R-HSA-448421;R-HSA-449058;R-HSA-8983983;R-HSA-446894;R-HSA-8983841;R-HSA-6789325;R-HSA-446634;R-HSA-8983845;R-HSA-448427;R-HSA-8937656;R-HSA-6797268;R-HSA-446130;R-HSA-8983996;R-HSA-8983870;R-HSA-448703;R-HSA-8950453;R-HSA-445752;R-HSA-446648;R-HSA-445753;R-HSA-8987080;R-HSA-9009485;R-HSA-8984012;R-HSA-6784160;R-HSA-8986446;R-HSA-8984014;R-HSA-8984001;R-HSA-8983872;R-HSA-8950210;R-HSA-8950340;R-HSA-8983876;R-HSA-8950342;R-HSA-8983878;R-HSA-508247;R-HSA-8950362;R-HSA-450133;R-HSA-6809140;R-HSA-913374;R-HSA-9006431;R-HSA-8983519;R-HSA-8987230;R-HSA-8983518;R-HSA-9009488;R-HSA-446684;R-HSA-449117;R-HSA-8984021;R-HSA-8950740;R-HSA-8950485;R-HSA-8984023;R-HSA-446694;R-HSA-451942;R-HSA-446692;R-HSA-919404;R-HSA-6790029;R-HSA-446701;R-HSA-450027;R-HSA-453111;R-HSA-6790036;R-HSA-6789524;R-HSA-448627;R-HSA-8950398;R-HSA-453104;R-HSA-9008894;R-HSA-8986480;R-HSA-8986994;R-HSA-8950387;R-HSA-508282;R-HSA-452091;R-HSA-8987255;R-HSA-8950518"
R-HSA-8877330,"RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs)",6,17,0.001086053791605443,4.686149015498131E-7,9.887774422701057E-5,9,20,0.0013189132155104195,9606,Homo sapiens,"IFNG;IL2RA;TNFRSF18","","R-HSA-8877493;R-HSA-8877396;R-HSA-8877490;R-HSA-8877360;R-HSA-8877391;R-HSA-8877485;R-HSA-8877369;R-HSA-8877385;R-HSA-9006422"
R-HSA-1280215,"Cytokine Signaling in Immune system",40,1088,0.06950744266274836,1.2966105342737677E-6,2.048644644152553E-4,123,785,0.05176734370878396,9606,Homo sapiens,"EDARADD;DUSP4;SNAP25;CCL22;CEBPD;CSF1;IL26;TNFRSF9;TNFRSF18;CCL3L3;EBI3;TWIST1;PTGS2;PTPN14;IL1A;CXCL10;MT2A;IFNG;IL2RA;CCL4;CCL3;HMOX1;NCAM1;TNFRSF4","","R-HSA-6785895;R-HSA-450054;R-HSA-452100;R-HSA-9732753;R-HSA-9734547;R-HSA-452097;R-HSA-450063;R-HSA-8984963;R-HSA-452108;R-HSA-8950405;R-HSA-9818010;R-HSA-9732738;R-HSA-203797;R-HSA-452122;R-HSA-913424;R-HSA-8950441;R-HSA-389156;R-HSA-389159;R-HSA-449058;R-HSA-8983983;R-HSA-1031716;R-HSA-1031713;R-HSA-8937656;R-HSA-8983996;R-HSA-8950453;R-HSA-445752;R-HSA-445753;R-HSA-8987080;R-HSA-8984012;R-HSA-9733330;R-HSA-8984014;R-HSA-9733331;R-HSA-8984001;R-HSA-8950210;R-HSA-9680349;R-HSA-9680348;R-HSA-9733316;R-HSA-508247;R-HSA-450133;R-HSA-6809140;R-HSA-8983519;R-HSA-9733314;R-HSA-8983518;R-HSA-449117;R-HSA-8984021;R-HSA-8950740;R-HSA-8950485;R-HSA-8984023;R-HSA-9733323;R-HSA-451942;R-HSA-919404;R-HSA-448627;R-HSA-9008894;R-HSA-508282;R-HSA-8950518;R-HSA-8950537;R-HSA-912527;R-HSA-508292;R-HSA-446862;R-HSA-446868;R-HSA-8983835;R-HSA-9680385;R-HSA-8983834;R-HSA-9680389;R-HSA-9680388;R-HSA-448421;R-HSA-446894;R-HSA-8983841;R-HSA-6789325;R-HSA-446634;R-HSA-8983845;R-HSA-448427;R-HSA-873919;R-HSA-873918;R-HSA-6797268;R-HSA-446130;R-HSA-8983870;R-HSA-448703;R-HSA-446648;R-HSA-9689680;R-HSA-9009485;R-HSA-6784160;R-HSA-8986446;R-HSA-873924;R-HSA-8983872;R-HSA-873927;R-HSA-873926;R-HSA-873921;R-HSA-8950340;R-HSA-5692315;R-HSA-8983876;R-HSA-8950342;R-HSA-873922;R-HSA-8983878;R-HSA-8950362;R-HSA-913374;R-HSA-9006431;R-HSA-8987230;R-HSA-877269;R-HSA-9009488;R-HSA-446684;R-HSA-5675656;R-HSA-446694;R-HSA-446692;R-HSA-6790029;R-HSA-9817983;R-HSA-446701;R-HSA-8858475;R-HSA-9732729;R-HSA-450027;R-HSA-877308;R-HSA-453111;R-HSA-6790036;R-HSA-6789524;R-HSA-8950398;R-HSA-453104;R-HSA-8986480;R-HSA-8986994;R-HSA-8950387;R-HSA-5675947;R-HSA-909552;R-HSA-452091;R-HSA-8987255"
R-HSA-9031628,"NGF-stimulated transcription",7,56,0.003577588960582636,4.435066064456539E-5,0.005632533901859804,14,37,0.002439989448694276,9606,Homo sapiens,"EGR2;RRAD;FOSB;TRIB1","","R-HSA-9031624;R-HSA-9612534;R-HSA-9613210;R-HSA-9031616;R-HSA-9613213;R-HSA-9613219;R-HSA-9612483;R-HSA-9613476;R-HSA-9621386;R-HSA-9612073;R-HSA-9621385;R-HSA-9031575;R-HSA-9612076;R-HSA-9612493"
R-HSA-198725,"Nuclear Events (kinase and transcription factor activation)",8,80,0.005110841372260908,6.0504721403065176E-5,0.0063529957473218435,15,48,0.0031653917172250064,9606,Homo sapiens,"DUSP4;EGR2;RRAD;FOSB;TRIB1","","R-HSA-9031624;R-HSA-9612534;R-HSA-9613210;R-HSA-9031616;R-HSA-9613213;R-HSA-9613219;R-HSA-9612483;R-HSA-9613476;R-HSA-203797;R-HSA-9621386;R-HSA-9612073;R-HSA-9621385;R-HSA-9031575;R-HSA-9612076;R-HSA-9612493"
R-HSA-187037,"Signaling by NTRK1 (TRKA)",10,143,0.009135628952916374,1.4335185092917424E-4,0.012901666583625682,51,102,0.006726457399103139,9606,Homo sapiens,"DUSP4;NTRK1;EGR2;RRAD;FOSB;TRIB1","","R-HSA-167683;R-HSA-167684;R-HSA-9613210;R-HSA-166538;R-HSA-166542;R-HSA-9613213;R-HSA-187661;R-HSA-166544;R-HSA-167056;R-HSA-198295;R-HSA-203797;R-HSA-9621386;R-HSA-9621385;R-HSA-187678;R-HSA-9031575;R-HSA-169891;R-HSA-169895;R-HSA-9612980;R-HSA-198315;R-HSA-169901;R-HSA-187698;R-HSA-9613219;R-HSA-169904;R-HSA-167217;R-HSA-187697;R-HSA-169905;R-HSA-9613476;R-HSA-9612073;R-HSA-9612076;R-HSA-198211;R-HSA-9031624;R-HSA-177479;R-HSA-9031616;R-HSA-9613023;R-HSA-198732;R-HSA-9612483;R-HSA-177491;R-HSA-9612996;R-HSA-170964;R-HSA-170975;R-HSA-9612493;R-HSA-177501;R-HSA-187746;R-HSA-170978;R-HSA-170979;R-HSA-170977;R-HSA-9612534;R-HSA-167019;R-HSA-190065;R-HSA-167674;R-HSA-198266"
R-HSA-9818030,"NFE2L2 regulating tumorigenic genes",4,17,0.001086053791605443,1.926518320842785E-4,0.01505527133958462,4,12,7.913479293062516E-4,9606,Homo sapiens,"PDGFA;AREG","","R-HSA-9796069;R-HSA-9796051;R-HSA-9796057;R-HSA-9796072"
R-HSA-6785807,"Interleukin-4 and Interleukin-13 signaling",12,211,0.013479844119338147,2.1507530485120885E-4,0.01505527133958462,6,47,0.0030994460564494858,9606,Homo sapiens,"IL1A;CCL22;CEBPD;HMOX1;TWIST1;PTGS2","","R-HSA-6785895;R-HSA-6790036;R-HSA-6789524;R-HSA-6797268;R-HSA-6790029;R-HSA-6789325"
R-HSA-166520,"Signaling by NTRKs",10,166,0.010604995847441385,4.611371906935169E-4,0.029051643013691564,51,164,0.010815088367185439,9606,Homo sapiens,"DUSP4;NTRK1;EGR2;RRAD;FOSB;TRIB1","","R-HSA-167683;R-HSA-167684;R-HSA-9613210;R-HSA-166538;R-HSA-166542;R-HSA-9613213;R-HSA-187661;R-HSA-166544;R-HSA-167056;R-HSA-198295;R-HSA-203797;R-HSA-9621386;R-HSA-9621385;R-HSA-187678;R-HSA-9031575;R-HSA-169891;R-HSA-169895;R-HSA-9612980;R-HSA-198315;R-HSA-169901;R-HSA-187698;R-HSA-9613219;R-HSA-169904;R-HSA-167217;R-HSA-187697;R-HSA-169905;R-HSA-9613476;R-HSA-9612073;R-HSA-9612076;R-HSA-198211;R-HSA-9031624;R-HSA-177479;R-HSA-9031616;R-HSA-9613023;R-HSA-198732;R-HSA-9612483;R-HSA-177491;R-HSA-9612996;R-HSA-170964;R-HSA-170975;R-HSA-9612493;R-HSA-177501;R-HSA-187746;R-HSA-170978;R-HSA-170979;R-HSA-170977;R-HSA-9612534;R-HSA-167019;R-HSA-190065;R-HSA-167674;R-HSA-198266"
