Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-168256,"Immune System",135,2653,0.16948827700760238,4.063416270128073E-14,4.746070203509589E-11,447,1723,0.11362437351622263,9606,Homo sapiens,"IFITM2;CD81;WIPF1;SLA;CBLB;RORA;STK10;RPS6KA3;HERC1;RNF19A;TBC1D10C;COTL1;EP300;OSTF1;LAG3;PRKCB;HLA-B;ADAM10;CYBA;SIGIRR;BIN2;CD8A;CD226;OPTN;UBR2;IQGAP1;PIK3R1;IQGAP2;RAP1B;RNF213;SLAMF7;MBP;NCKAP1L;S100A11;CD99;PAG1;S100A10;MCL1;VASP;STAT5B;SH2D1A;NFATC2;MSN;RAB27A;UBE2A;IGF2R;DIAPH1;KLRD1;CDK13;HLA-DRB1;ITGB1;CDKN1B;SH3KBP1;ITGB2;TNFAIP3;PTPN22;CD3G;ITGAL;HEBP2;GLIPR1;ADGRE5;GNLY;SPTAN1;CTSC;HLA-DPA1;CAP1;ANXA1;BTN3A1;ANXA2;ITGA4;COMMD3;BTN3A2;PPP2R5C;TNFRSF1B;RAP2B;IRF3;RAPGEF1;MYH9;BIRC3;CD63;DCTN3;NLRC5;WAS;IL2RG;TANK;CCL5;CCL4;STOM;FLNA;MAPK1;FYN;IL32;CD74;IL10RA;CMTM6;TSPAN14;IL2RB;HLA-DPB1;PTPN7;VIM;TRIM38;PTPN4;YPEL5","","R-HSA-688136;R-HSA-688137;R-HSA-203797;R-HSA-1168393;R-HSA-9605259;R-HSA-1168394;R-HSA-913424;R-HSA-389159;R-HSA-389158;R-HSA-6786114;R-HSA-507937;R-HSA-6786124;R-HSA-8937654;R-HSA-9733330;R-HSA-9733331;R-HSA-6786095;R-HSA-198731;R-HSA-448591;R-HSA-6786092;R-HSA-6800426;R-HSA-9733316;R-HSA-6786101;R-HSA-6800434;R-HSA-6786096;R-HSA-6786110;R-HSA-198746;R-HSA-1168459;R-HSA-9733323;R-HSA-6784006;R-HSA-8863973;R-HSA-430180;R-HSA-983148;R-HSA-9699575;R-HSA-983147;R-HSA-983146;R-HSA-6786050;R-HSA-983145;R-HSA-198756;R-HSA-983142;R-HSA-6807565;R-HSA-983140;R-HSA-983138;R-HSA-6786058;R-HSA-9699578;R-HSA-6786070;R-HSA-983161;R-HSA-168053;R-HSA-983157;R-HSA-983156;R-HSA-6807578;R-HSA-6786072;R-HSA-983152;R-HSA-430201;R-HSA-9606162;R-HSA-9606163;R-HSA-912527;R-HSA-9606160;R-HSA-1295519;R-HSA-1295516;R-HSA-9606151;R-HSA-2197691;R-HSA-2197690;R-HSA-6788346;R-HSA-9606159;R-HSA-1295540;R-HSA-9607224;R-HSA-6806732;R-HSA-2213017;R-HSA-166072;R-HSA-390329;R-HSA-5669097;R-HSA-3249392;R-HSA-9645137;R-HSA-6784160;R-HSA-9014342;R-HSA-199895;R-HSA-9645126;R-HSA-442586;R-HSA-9645134;R-HSA-2197697;R-HSA-389348;R-HSA-389350;R-HSA-2197698;R-HSA-442592;R-HSA-1168635;R-HSA-6785165;R-HSA-389352;R-HSA-389354;R-HSA-912629;R-HSA-6798489;R-HSA-912627;R-HSA-2172126;R-HSA-389381;R-HSA-9604499;R-HSA-8862084;R-HSA-9734547;R-HSA-9750942;R-HSA-2395439;R-HSA-8985988;R-HSA-449803;R-HSA-8987014;R-HSA-939265;R-HSA-8987033;R-HSA-199959;R-HSA-449811;R-HSA-198941;R-HSA-879917;R-HSA-6784324;R-HSA-6784323;R-HSA-198955;R-HSA-879909;R-HSA-8987040;R-HSA-2395412;R-HSA-451895;R-HSA-2130194;R-HSA-5685605;R-HSA-5685603;R-HSA-9750946;R-HSA-9012671;R-HSA-8987070;R-HSA-879930;R-HSA-9025969;R-HSA-451900;R-HSA-8950218;R-HSA-392513;R-HSA-9008577;R-HSA-9680348;R-HSA-508247;R-HSA-2213235;R-HSA-8983003;R-HSA-912734;R-HSA-2213236;R-HSA-2213239;R-HSA-2213241;R-HSA-6784319;R-HSA-8950225;R-HSA-2213243;R-HSA-2213244;R-HSA-2213246;R-HSA-451942;R-HSA-166245;R-HSA-8983011;R-HSA-983422;R-HSA-937343;R-HSA-210289;R-HSA-983421;R-HSA-8987132;R-HSA-937337;R-HSA-210298;R-HSA-199032;R-HSA-508282;R-HSA-166271;R-HSA-2130336;R-HSA-199043;R-HSA-508292;R-HSA-2025882;R-HSA-9709852;R-HSA-199050;R-HSA-983427;R-HSA-3134883;R-HSA-2130349;R-HSA-983426;R-HSA-983425;R-HSA-9691421;R-HSA-983424;R-HSA-9709831;R-HSA-199062;R-HSA-2396594;R-HSA-389532;R-HSA-449958;R-HSA-9830710;R-HSA-2213248;R-HSA-9830706;R-HSA-8985900;R-HSA-936380;R-HSA-8985914;R-HSA-936381;R-HSA-202165;R-HSA-202168;R-HSA-2025890;R-HSA-202174;R-HSA-8985929;R-HSA-8985950;R-HSA-199131;R-HSA-202203;R-HSA-8986985;R-HSA-202214;R-HSA-2559439;R-HSA-2130378;R-HSA-202216;R-HSA-199144;R-HSA-450027;R-HSA-1168894;R-HSA-6798743;R-HSA-453111;R-HSA-6798739;R-HSA-453104;R-HSA-6798751;R-HSA-2130393;R-HSA-202233;R-HSA-6798749;R-HSA-8986995;R-HSA-6798748;R-HSA-6798747;R-HSA-8985973;R-HSA-452091;R-HSA-6798745;R-HSA-936462;R-HSA-452102;R-HSA-199169;R-HSA-452100;R-HSA-177671;R-HSA-9732753;R-HSA-202245;R-HSA-452097;R-HSA-450063;R-HSA-452108;R-HSA-202248;R-HSA-8987266;R-HSA-2130478;R-HSA-1671691;R-HSA-936475;R-HSA-2130486;R-HSA-5668417;R-HSA-452122;R-HSA-8963734;R-HSA-2076220;R-HSA-5668467;R-HSA-9705137;R-HSA-9823932;R-HSA-1031716;R-HSA-9823934;R-HSA-9705145;R-HSA-1031713;R-HSA-202291;R-HSA-5668454;R-HSA-9823910;R-HSA-9823904;R-HSA-9823906;R-HSA-5621355;R-HSA-202307;R-HSA-8951498;R-HSA-8951499;R-HSA-8951500;R-HSA-9750226;R-HSA-1112666;R-HSA-921155;R-HSA-9013979;R-HSA-9013978;R-HSA-9823939;R-HSA-8950480;R-HSA-449115;R-HSA-9013974;R-HSA-5676598;R-HSA-9013992;R-HSA-5668404;R-HSA-5676596;R-HSA-5676597;R-HSA-2130500;R-HSA-5676595;R-HSA-5676593;R-HSA-2130504;R-HSA-5668414;R-HSA-9013985;R-HSA-202344;R-HSA-8852200;R-HSA-9013990;R-HSA-9006844;R-HSA-9606887;R-HSA-9008894;R-HSA-389758;R-HSA-202365;R-HSA-2424484;R-HSA-6793958;R-HSA-2424486;R-HSA-2424487;R-HSA-2424480;R-HSA-2424482;R-HSA-392835;R-HSA-9680385;R-HSA-983709;R-HSA-9680389;R-HSA-9680388;R-HSA-983703;R-HSA-933527;R-HSA-2130619;R-HSA-933525;R-HSA-8983063;R-HSA-9008684;R-HSA-8985123;R-HSA-933538;R-HSA-9009700;R-HSA-933536;R-HSA-933537;R-HSA-1606327;R-HSA-2395801;R-HSA-1028815;R-HSA-1028812;R-HSA-2029272;R-HSA-2029273;R-HSA-2029270;R-HSA-2029271;R-HSA-2029268;R-HSA-388814;R-HSA-388809;R-HSA-1606345;R-HSA-918232;R-HSA-5668481;R-HSA-388829;R-HSA-8851038;R-HSA-8856157;R-HSA-388831;R-HSA-1028821;R-HSA-388830;R-HSA-2201338;R-HSA-918229;R-HSA-1028820;R-HSA-2201341;R-HSA-1028819;R-HSA-918227;R-HSA-1028817;R-HSA-918225;R-HSA-1028816;R-HSA-5668534;R-HSA-388833;R-HSA-388832;R-HSA-9824882;R-HSA-5668543;R-HSA-8987236;R-HSA-2130640;R-HSA-2130641;R-HSA-5624486;R-HSA-6785895;R-HSA-2130725;R-HSA-8983425;R-HSA-8983424;R-HSA-2130731;R-HSA-914182;R-HSA-6785898;R-HSA-9818010;R-HSA-879362;R-HSA-8850326;R-HSA-2032396;R-HSA-450325;R-HSA-5362500;R-HSA-8865693;R-HSA-879377;R-HSA-2130706;R-HSA-8850356;R-HSA-8938431;R-HSA-9009072;R-HSA-2396007;R-HSA-2730860;R-HSA-2396002;R-HSA-2730849;R-HSA-2730867;R-HSA-199518;R-HSA-2730870;R-HSA-9705461;R-HSA-919404;R-HSA-9705458;R-HSA-5362486;R-HSA-8948709;R-HSA-9705465;R-HSA-9705466;R-HSA-6784791;R-HSA-2730842;R-HSA-354173;R-HSA-6785821;R-HSA-2395992;R-HSA-6789092;R-HSA-8853252;R-HSA-2029469;R-HSA-8983309;R-HSA-2029466;R-HSA-2029467;R-HSA-2029465;R-HSA-8983299;R-HSA-8983298;R-HSA-9006850;R-HSA-2029458;R-HSA-199566;R-HSA-2029459;R-HSA-8983300;R-HSA-2029457;R-HSA-9006873;R-HSA-6799350;R-HSA-2029455;R-HSA-2029452;R-HSA-2029453;R-HSA-2029451;R-HSA-2029449;R-HSA-1015702;R-HSA-1015699;R-HSA-9006870;R-HSA-1834939;R-HSA-9706293;R-HSA-5660660;R-HSA-9674550;R-HSA-5660666;R-HSA-8983335;R-HSA-2029476;R-HSA-9674542;R-HSA-8983371;R-HSA-8983373;R-HSA-8983374;R-HSA-8855375;R-HSA-1236954;R-HSA-2045911;R-HSA-168909;R-HSA-9674563;R-HSA-8983384;R-HSA-168915;R-HSA-9674562;R-HSA-8855381;R-HSA-913374;R-HSA-9674567;R-HSA-8983379;R-HSA-8983378;R-HSA-9706319;R-HSA-1236943;R-HSA-8865626;R-HSA-6790022;R-HSA-1169394;R-HSA-9828209;R-HSA-1168373;R-HSA-168933;R-HSA-9698170;R-HSA-9817983;R-HSA-8983394;R-HSA-1369080;R-HSA-9679740;R-HSA-9706340;R-HSA-9828196;R-HSA-6790036;R-HSA-1236967;R-HSA-1236964;R-HSA-1236965;R-HSA-9828205;R-HSA-1236971;R-HSA-9828204;R-HSA-9705320;R-HSA-9828200;R-HSA-9706345;R-HSA-203774;R-HSA-6790041;R-HSA-9705323"
R-HSA-1280215,"Cytokine Signaling in Immune system",66,1088,0.06950744266274836,7.921265865462601E-10,4.626019265430159E-7,185,785,0.05176734370878396,9606,Homo sapiens,"ITGB1;CDKN1B;IFITM2;ITGB2;NLRC5;SLA;RORA;PIK3R1;IL2RG;RAP1B;RPS6KA3;CCL5;CCL4;MAPK1;FLNA;FYN;MCL1;HLA-DPA1;IL32;CAP1;STAT5B;ANXA1;ANXA2;IL10RA;HLA-B;MSN;TNFRSF1B;SIGIRR;IRF3;IL2RB;HLA-DPB1;RAPGEF1;PTPN7;VIM;TRIM38;PTPN4;HLA-DRB1;BIRC3","","R-HSA-6785895;R-HSA-936462;R-HSA-452102;R-HSA-452100;R-HSA-9732753;R-HSA-452097;R-HSA-9734547;R-HSA-8983425;R-HSA-8983424;R-HSA-450063;R-HSA-452108;R-HSA-9750942;R-HSA-8987266;R-HSA-914182;R-HSA-8985988;R-HSA-6785898;R-HSA-449803;R-HSA-9818010;R-HSA-8987014;R-HSA-8987033;R-HSA-1671691;R-HSA-450325;R-HSA-199959;R-HSA-449811;R-HSA-203797;R-HSA-5668417;R-HSA-1168393;R-HSA-9605259;R-HSA-8865693;R-HSA-1168394;R-HSA-452122;R-HSA-913424;R-HSA-8963734;R-HSA-879917;R-HSA-389159;R-HSA-6784324;R-HSA-6784323;R-HSA-5668467;R-HSA-6786114;R-HSA-507937;R-HSA-879909;R-HSA-8987040;R-HSA-1031716;R-HSA-6786124;R-HSA-1031713;R-HSA-5668454;R-HSA-451895;R-HSA-9750946;R-HSA-9012671;R-HSA-8987070;R-HSA-879930;R-HSA-9025969;R-HSA-9009072;R-HSA-451900;R-HSA-8937654;R-HSA-8950218;R-HSA-9733330;R-HSA-9750226;R-HSA-9733331;R-HSA-6786095;R-HSA-198731;R-HSA-9008577;R-HSA-448591;R-HSA-6786092;R-HSA-921155;R-HSA-9680348;R-HSA-508247;R-HSA-9733316;R-HSA-8983003;R-HSA-6786101;R-HSA-912734;R-HSA-6786096;R-HSA-8950480;R-HSA-6784319;R-HSA-6786110;R-HSA-8950225;R-HSA-198746;R-HSA-1168459;R-HSA-449115;R-HSA-9733323;R-HSA-451942;R-HSA-5676598;R-HSA-6784006;R-HSA-9705461;R-HSA-5668404;R-HSA-919404;R-HSA-5676596;R-HSA-5676597;R-HSA-9699575;R-HSA-6786050;R-HSA-5676595;R-HSA-9705458;R-HSA-5676593;R-HSA-198756;R-HSA-5668414;R-HSA-8983011;R-HSA-6786058;R-HSA-9705465;R-HSA-9699578;R-HSA-9705466;R-HSA-6784791;R-HSA-6786070;R-HSA-9006844;R-HSA-8987132;R-HSA-9008894;R-HSA-168053;R-HSA-6785821;R-HSA-508282;R-HSA-6786072;R-HSA-6793958;R-HSA-912527;R-HSA-508292;R-HSA-8983309;R-HSA-8983299;R-HSA-8983298;R-HSA-9006850;R-HSA-1295519;R-HSA-8983300;R-HSA-1295516;R-HSA-9006873;R-HSA-9680385;R-HSA-9680389;R-HSA-9680388;R-HSA-1015702;R-HSA-1015699;R-HSA-6788346;R-HSA-8983063;R-HSA-9006870;R-HSA-449958;R-HSA-9706293;R-HSA-8985900;R-HSA-9674550;R-HSA-9008684;R-HSA-1295540;R-HSA-8985123;R-HSA-9607224;R-HSA-9009700;R-HSA-8983335;R-HSA-8985914;R-HSA-9674542;R-HSA-5669097;R-HSA-8985929;R-HSA-8983371;R-HSA-9645137;R-HSA-8983373;R-HSA-6784160;R-HSA-8983374;R-HSA-9674563;R-HSA-8983384;R-HSA-9674562;R-HSA-913374;R-HSA-199895;R-HSA-9674567;R-HSA-9645126;R-HSA-5668481;R-HSA-8985950;R-HSA-8983379;R-HSA-8983378;R-HSA-9706319;R-HSA-8865626;R-HSA-9645134;R-HSA-5668534;R-HSA-8986985;R-HSA-6790022;R-HSA-1169394;R-HSA-5668543;R-HSA-9698170;R-HSA-9817983;R-HSA-6785165;R-HSA-8983394;R-HSA-1369080;R-HSA-450027;R-HSA-8987236;R-HSA-1168894;R-HSA-9706340;R-HSA-453111;R-HSA-6790036;R-HSA-453104;R-HSA-912629;R-HSA-8986995;R-HSA-8985973;R-HSA-452091;R-HSA-9706345;R-HSA-912627;R-HSA-6790041"
R-HSA-449147,"Signaling by Interleukins",45,646,0.04127004408100684,1.0589210286404693E-8,4.119202801411426E-6,124,505,0.03330255869163809,9606,Homo sapiens,"ITGB1;ITGB2;NLRC5;RORA;PIK3R1;IL2RG;RAP1B;RPS6KA3;CCL5;CCL4;MAPK1;FYN;MCL1;IL32;STAT5B;ANXA1;ANXA2;IL10RA;MSN;TNFRSF1B;SIGIRR;IL2RB;RAPGEF1;PTPN7;VIM;PTPN4","","R-HSA-6785895;R-HSA-452102;R-HSA-452100;R-HSA-452097;R-HSA-8983425;R-HSA-8983424;R-HSA-450063;R-HSA-452108;R-HSA-9750942;R-HSA-8987266;R-HSA-914182;R-HSA-8985988;R-HSA-6785898;R-HSA-449803;R-HSA-8987014;R-HSA-8987033;R-HSA-450325;R-HSA-199959;R-HSA-449811;R-HSA-203797;R-HSA-8865693;R-HSA-452122;R-HSA-913424;R-HSA-8963734;R-HSA-879917;R-HSA-6784324;R-HSA-6784323;R-HSA-6786114;R-HSA-507937;R-HSA-879909;R-HSA-8987040;R-HSA-6786124;R-HSA-451895;R-HSA-9750946;R-HSA-9012671;R-HSA-8987070;R-HSA-879930;R-HSA-9025969;R-HSA-9009072;R-HSA-451900;R-HSA-8937654;R-HSA-8950218;R-HSA-9750226;R-HSA-6786095;R-HSA-198731;R-HSA-9008577;R-HSA-448591;R-HSA-6786092;R-HSA-921155;R-HSA-508247;R-HSA-8983003;R-HSA-6786101;R-HSA-912734;R-HSA-6786096;R-HSA-8950480;R-HSA-6784319;R-HSA-6786110;R-HSA-8950225;R-HSA-198746;R-HSA-449115;R-HSA-451942;R-HSA-6784006;R-HSA-919404;R-HSA-6786050;R-HSA-198756;R-HSA-8983011;R-HSA-6786058;R-HSA-6784791;R-HSA-6786070;R-HSA-9006844;R-HSA-8987132;R-HSA-9008894;R-HSA-168053;R-HSA-6785821;R-HSA-508282;R-HSA-6786072;R-HSA-6793958;R-HSA-912527;R-HSA-508292;R-HSA-8983309;R-HSA-8983299;R-HSA-8983298;R-HSA-9006850;R-HSA-1295519;R-HSA-8983300;R-HSA-1295516;R-HSA-9006873;R-HSA-6788346;R-HSA-8983063;R-HSA-9006870;R-HSA-449958;R-HSA-8985900;R-HSA-9008684;R-HSA-1295540;R-HSA-9009700;R-HSA-8983335;R-HSA-8985914;R-HSA-8985929;R-HSA-8983371;R-HSA-8983373;R-HSA-6784160;R-HSA-8983374;R-HSA-8983384;R-HSA-913374;R-HSA-199895;R-HSA-8985950;R-HSA-8983379;R-HSA-8983378;R-HSA-8865626;R-HSA-8986985;R-HSA-6790022;R-HSA-6785165;R-HSA-8983394;R-HSA-450027;R-HSA-8987236;R-HSA-453111;R-HSA-6790036;R-HSA-453104;R-HSA-912629;R-HSA-8986995;R-HSA-8985973;R-HSA-452091;R-HSA-912627;R-HSA-6790041"
R-HSA-6798695,"Neutrophil degranulation",37,478,0.030537277199258927,1.7225112003416143E-8,5.029732704997514E-6,10,10,6.594566077552098E-4,9606,Homo sapiens,"CD63;ITGB2;IQGAP1;ITGAL;IQGAP2;RAP1B;HEBP2;STK10;GLIPR1;ADGRE5;TBC1D10C;COTL1;STOM;MAPK1;MBP;NCKAP1L;OSTF1;SPTAN1;CTSC;S100A11;S100A10;CAP1;ANXA2;CMTM6;HLA-B;RAB27A;ADAM10;COMMD3;CYBA;TNFRSF1B;IGF2R;DIAPH1;TSPAN14;RAP2B;BIN2;CDK13;YPEL5","","R-HSA-6798743;R-HSA-6799350;R-HSA-6798739;R-HSA-6800434;R-HSA-6798751;R-HSA-6798749;R-HSA-6798748;R-HSA-6798747;R-HSA-6800426;R-HSA-6798745"
R-HSA-9725370,"Signaling by ALK fusions and activated point mutants",17,119,0.007602376541238101,4.6469040615448876E-8,9.014993879397082E-6,17,63,0.004154576628857821,9606,Homo sapiens,"MECP2;RNF213;TPM4;PRKAR1A;IL10RA;PRF1;MYH9;GZMB;MAPK1;MSN;PIK3R1;MCL1","","R-HSA-9712084;R-HSA-9700181;R-HSA-9851088;R-HSA-9701810;R-HSA-9700179;R-HSA-9712083;R-HSA-9851102;R-HSA-9851068;R-HSA-9725342;R-HSA-9851131;R-HSA-9724090;R-HSA-9725030;R-HSA-9725357;R-HSA-9712078;R-HSA-9851084;R-HSA-9701903;R-HSA-9851112"
R-HSA-9700206,"Signaling by ALK in cancer",17,119,0.007602376541238101,4.6469040615448876E-8,9.014993879397082E-6,18,71,0.004682141915061989,9606,Homo sapiens,"MECP2;RNF213;TPM4;PRKAR1A;IL10RA;PRF1;MYH9;GZMB;MAPK1;MSN;PIK3R1;MCL1","","R-HSA-9712084;R-HSA-9700181;R-HSA-9851088;R-HSA-9701810;R-HSA-9700179;R-HSA-9712083;R-HSA-9851102;R-HSA-9851068;R-HSA-9725342;R-HSA-9851131;R-HSA-9724090;R-HSA-9725030;R-HSA-9700131;R-HSA-9725357;R-HSA-9712078;R-HSA-9851084;R-HSA-9701903;R-HSA-9851112"
R-HSA-194315,"Signaling by Rho GTPases",46,708,0.04523094614450904,5.5451156222297016E-8,9.204891932901305E-6,102,203,0.013386969137430756,9606,Homo sapiens,"ITGB1;CDKN1B;WIPF1;WAS;IQGAP1;PIK3R1;ADD3;IQGAP2;HIST2H2AC;AKAP13;PREX1;STK10;STK38;FLOT1;EFHD2;STOM;FLNA;MAPK1;NCKAP1L;EMB;SPTAN1;YWHAH;IL32;PPP1R12A;TPM4;PRKCB;ARAP2;ERBIN;CYBA;PPP2R5C;ARHGAP25;SLC4A7;DIAPH1;CLIP1;MYL6;FMNL1;ARHGAP30;TAOK3;SPATA13;CDC42EP3;RAPGEF1;ARHGEF3;MYH9;ARHGEF1;VIM","","R-HSA-5668947;R-HSA-9018766;R-HSA-5666129;R-HSA-75016;R-HSA-5671772;R-HSA-8981637;R-HSA-419083;R-HSA-9018758;R-HSA-9013145;R-HSA-9014424;R-HSA-9013144;R-HSA-5668932;R-HSA-9018778;R-HSA-9017488;R-HSA-9017491;R-HSA-9013143;R-HSA-9013161;R-HSA-9018794;R-HSA-5668978;R-HSA-5672304;R-HSA-5666160;R-HSA-9014433;R-HSA-5668735;R-HSA-9017507;R-HSA-9018787;R-HSA-9014434;R-HSA-9013157;R-HSA-5668731;R-HSA-5665659;R-HSA-5669240;R-HSA-9013159;R-HSA-5666169;R-HSA-5626469;R-HSA-9018808;R-HSA-2130194;R-HSA-9013437;R-HSA-9014449;R-HSA-5668718;R-HSA-5668714;R-HSA-9018804;R-HSA-9018806;R-HSA-5666070;R-HSA-9626832;R-HSA-5668629;R-HSA-5218827;R-HSA-5665809;R-HSA-5625883;R-HSA-9626817;R-HSA-5218841;R-HSA-5663232;R-HSA-9693125;R-HSA-5666049;R-HSA-8980691;R-HSA-5625870;R-HSA-5665802;R-HSA-9626848;R-HSA-5671972;R-HSA-5625901;R-HSA-419197;R-HSA-2029469;R-HSA-2029466;R-HSA-2029465;R-HSA-5625797;R-HSA-9014296;R-HSA-5625796;R-HSA-5665989;R-HSA-9013023;R-HSA-9013022;R-HSA-9013009;R-HSA-9696266;R-HSA-2197691;R-HSA-2197690;R-HSA-9696271;R-HSA-9693198;R-HSA-9014295;R-HSA-9014294;R-HSA-9696268;R-HSA-419232;R-HSA-5666046;R-HSA-9013024;R-HSA-5668605;R-HSA-5625849;R-HSA-5625848;R-HSA-5671919;R-HSA-5665686;R-HSA-5669250;R-HSA-442586;R-HSA-5626507;R-HSA-5672329;R-HSA-5626549;R-HSA-2197698;R-HSA-442592;R-HSA-5665982;R-HSA-5625784;R-HSA-9690493;R-HSA-9693282;R-HSA-9018747;R-HSA-9018746;R-HSA-5625774;R-HSA-9013109;R-HSA-9013111;R-HSA-9013110"
R-HSA-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",46,724,0.046253114418961225,1.0496808677817882E-7,1.5325340669614107E-5,102,212,0.013980480084410446,9606,Homo sapiens,"ITGB1;CDKN1B;WIPF1;WAS;IQGAP1;PIK3R1;ADD3;IQGAP2;HIST2H2AC;AKAP13;PREX1;STK10;STK38;FLOT1;EFHD2;STOM;FLNA;MAPK1;NCKAP1L;EMB;SPTAN1;YWHAH;IL32;PPP1R12A;TPM4;PRKCB;ARAP2;ERBIN;CYBA;PPP2R5C;ARHGAP25;SLC4A7;DIAPH1;CLIP1;MYL6;FMNL1;ARHGAP30;TAOK3;SPATA13;CDC42EP3;RAPGEF1;ARHGEF3;MYH9;ARHGEF1;VIM","","R-HSA-5668947;R-HSA-9018766;R-HSA-5666129;R-HSA-75016;R-HSA-5671772;R-HSA-8981637;R-HSA-419083;R-HSA-9018758;R-HSA-9013145;R-HSA-9014424;R-HSA-9013144;R-HSA-5668932;R-HSA-9018778;R-HSA-9017488;R-HSA-9017491;R-HSA-9013143;R-HSA-9013161;R-HSA-9018794;R-HSA-5668978;R-HSA-5672304;R-HSA-5666160;R-HSA-9014433;R-HSA-5668735;R-HSA-9017507;R-HSA-9018787;R-HSA-9014434;R-HSA-9013157;R-HSA-5668731;R-HSA-5665659;R-HSA-5669240;R-HSA-9013159;R-HSA-5666169;R-HSA-5626469;R-HSA-9018808;R-HSA-2130194;R-HSA-9013437;R-HSA-9014449;R-HSA-5668718;R-HSA-5668714;R-HSA-9018804;R-HSA-9018806;R-HSA-5666070;R-HSA-9626832;R-HSA-5668629;R-HSA-5218827;R-HSA-5665809;R-HSA-5625883;R-HSA-9626817;R-HSA-5218841;R-HSA-5663232;R-HSA-9693125;R-HSA-5666049;R-HSA-8980691;R-HSA-5625870;R-HSA-5665802;R-HSA-9626848;R-HSA-5671972;R-HSA-5625901;R-HSA-419197;R-HSA-2029469;R-HSA-2029466;R-HSA-2029465;R-HSA-5625797;R-HSA-9014296;R-HSA-5625796;R-HSA-5665989;R-HSA-9013023;R-HSA-9013022;R-HSA-9013009;R-HSA-9696266;R-HSA-2197691;R-HSA-2197690;R-HSA-9696271;R-HSA-9693198;R-HSA-9014295;R-HSA-9014294;R-HSA-9696268;R-HSA-419232;R-HSA-5666046;R-HSA-9013024;R-HSA-5668605;R-HSA-5625849;R-HSA-5625848;R-HSA-5671919;R-HSA-5665686;R-HSA-5669250;R-HSA-442586;R-HSA-5626507;R-HSA-5672329;R-HSA-5626549;R-HSA-2197698;R-HSA-442592;R-HSA-5665982;R-HSA-5625784;R-HSA-9690493;R-HSA-9693282;R-HSA-9018747;R-HSA-9018746;R-HSA-5625774;R-HSA-9013109;R-HSA-9013111;R-HSA-9013110"
R-HSA-9012999,"RHO GTPase cycle",33,460,0.029387337890500225,5.661858889505211E-7,7.303797967461723E-5,43,91,0.006001055130572409,9606,Homo sapiens,"ITGB1;WIPF1;WAS;IQGAP1;PIK3R1;ADD3;IQGAP2;AKAP13;PREX1;STK10;STK38;FLOT1;EFHD2;STOM;NCKAP1L;SPTAN1;IL32;TPM4;ARAP2;ERBIN;CYBA;ARHGAP25;SLC4A7;DIAPH1;FMNL1;ARHGAP30;TAOK3;SPATA13;CDC42EP3;RAPGEF1;ARHGEF3;ARHGEF1;VIM","","R-HSA-9018766;R-HSA-8981637;R-HSA-9018758;R-HSA-9013145;R-HSA-9014424;R-HSA-9014296;R-HSA-9013144;R-HSA-9018778;R-HSA-9013023;R-HSA-9693125;R-HSA-9013022;R-HSA-9013009;R-HSA-9696266;R-HSA-9017488;R-HSA-8980691;R-HSA-9017491;R-HSA-9696271;R-HSA-9693198;R-HSA-9013143;R-HSA-9014295;R-HSA-9014294;R-HSA-9696268;R-HSA-9013161;R-HSA-9018794;R-HSA-9014433;R-HSA-9013024;R-HSA-9017507;R-HSA-9018787;R-HSA-9014434;R-HSA-9013157;R-HSA-9013159;R-HSA-9690493;R-HSA-9018808;R-HSA-9693282;R-HSA-9018747;R-HSA-9018746;R-HSA-9013437;R-HSA-9014449;R-HSA-9013109;R-HSA-9018804;R-HSA-9013111;R-HSA-9013110;R-HSA-9018806"
R-HSA-8949275,"RUNX3 Regulates Immune Response and Cell Migration",5,10,6.388551715326135E-4,9.394403307938504E-6,0.0010897507837208664,5,5,3.297283038776049E-4,9606,Homo sapiens,"ITGA4;ITGAL;RUNX3","","R-HSA-8952442;R-HSA-8949276;R-HSA-8949343;R-HSA-8949301;R-HSA-8949335"
