Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-168256,"Immune System",80,2653,0.16948827700760238,1.4821366356443377E-11,1.0819597440203665E-8,342,1723,0.11362437351622263,9606,Homo sapiens,"ITGB1;SH3KBP1;WIPF1;ITGB2;SLA;TNFAIP3;PTPN22;CBLB;RORA;ITGAL;ADGRE5;GNLY;RNF19A;COTL1;EP300;CTSC;HLA-DPA1;CAP1;ANXA1;ANXA2;PRKCB;HLA-B;COMMD3;CYBA;BTN3A2;PPP2R5C;TNFRSF1B;BIN2;RAPGEF1;CD226;OPTN;BIRC3;UBR2;IQGAP1;IL2RG;IQGAP2;TANK;RNF213;CCL5;CCL4;FLNA;STOM;SLAMF7;NCKAP1L;FYN;MBP;CD99;S100A11;S100A10;IL32;VASP;STAT5B;CD74;MSN;RAB27A;UBE2A;IGF2R;DIAPH1;IL2RB;HLA-DPB1;KLRD1;PTPN7","","R-HSA-452102;R-HSA-199169;R-HSA-452100;R-HSA-688136;R-HSA-688137;R-HSA-202245;R-HSA-452097;R-HSA-450063;R-HSA-452108;R-HSA-202248;R-HSA-8987266;R-HSA-2130478;R-HSA-1671691;R-HSA-936475;R-HSA-2130486;R-HSA-5668417;R-HSA-1168393;R-HSA-9605259;R-HSA-1168394;R-HSA-452122;R-HSA-913424;R-HSA-8963734;R-HSA-389159;R-HSA-389158;R-HSA-6786114;R-HSA-5668467;R-HSA-9705137;R-HSA-507937;R-HSA-9823932;R-HSA-1031716;R-HSA-9823934;R-HSA-6786124;R-HSA-9705145;R-HSA-1031713;R-HSA-202291;R-HSA-5668454;R-HSA-9823910;R-HSA-9823904;R-HSA-9823906;R-HSA-8937654;R-HSA-5621355;R-HSA-202307;R-HSA-8951498;R-HSA-8951499;R-HSA-8951500;R-HSA-9733330;R-HSA-9733331;R-HSA-6786095;R-HSA-448591;R-HSA-1112666;R-HSA-6786092;R-HSA-6800426;R-HSA-921155;R-HSA-9733316;R-HSA-6786101;R-HSA-9013979;R-HSA-9013978;R-HSA-6800434;R-HSA-9823939;R-HSA-6786096;R-HSA-8950480;R-HSA-6786110;R-HSA-449115;R-HSA-9733323;R-HSA-9013974;R-HSA-5676598;R-HSA-9013992;R-HSA-8863973;R-HSA-5676596;R-HSA-5668404;R-HSA-983148;R-HSA-5676597;R-HSA-2130500;R-HSA-983147;R-HSA-983146;R-HSA-5676595;R-HSA-6786050;R-HSA-983145;R-HSA-5676593;R-HSA-2130504;R-HSA-5668414;R-HSA-9013985;R-HSA-983142;R-HSA-6807565;R-HSA-202344;R-HSA-983140;R-HSA-983138;R-HSA-6786058;R-HSA-8852200;R-HSA-9013990;R-HSA-6786070;R-HSA-9006844;R-HSA-983161;R-HSA-9008894;R-HSA-983157;R-HSA-389758;R-HSA-983156;R-HSA-6807578;R-HSA-6786072;R-HSA-430201;R-HSA-983152;R-HSA-2424484;R-HSA-9606162;R-HSA-6793958;R-HSA-9606163;R-HSA-2424486;R-HSA-912527;R-HSA-2424487;R-HSA-2424480;R-HSA-2424482;R-HSA-1295519;R-HSA-1295516;R-HSA-9680385;R-HSA-983709;R-HSA-9606151;R-HSA-9680389;R-HSA-9680388;R-HSA-983703;R-HSA-933527;R-HSA-2197691;R-HSA-2130619;R-HSA-933525;R-HSA-2197690;R-HSA-6788346;R-HSA-9606159;R-HSA-8983063;R-HSA-1295540;R-HSA-8985123;R-HSA-6806732;R-HSA-933538;R-HSA-9009700;R-HSA-933536;R-HSA-933537;R-HSA-2213017;R-HSA-390329;R-HSA-2395801;R-HSA-5669097;R-HSA-1028815;R-HSA-9645137;R-HSA-1028812;R-HSA-6784160;R-HSA-388814;R-HSA-388809;R-HSA-9014342;R-HSA-9645126;R-HSA-918232;R-HSA-5668481;R-HSA-388829;R-HSA-8851038;R-HSA-8856157;R-HSA-388831;R-HSA-2201338;R-HSA-918229;R-HSA-1028820;R-HSA-1028819;R-HSA-918227;R-HSA-9645134;R-HSA-1028817;R-HSA-918225;R-HSA-5668534;R-HSA-389348;R-HSA-389350;R-HSA-2197698;R-HSA-388833;R-HSA-388832;R-HSA-442592;R-HSA-9824882;R-HSA-5668543;R-HSA-6785165;R-HSA-1168635;R-HSA-389352;R-HSA-389354;R-HSA-2130640;R-HSA-2130641;R-HSA-5624486;R-HSA-912629;R-HSA-6798489;R-HSA-912627;R-HSA-2172126;R-HSA-6785895;R-HSA-389381;R-HSA-9604499;R-HSA-8862084;R-HSA-2130725;R-HSA-8983425;R-HSA-8983424;R-HSA-2395439;R-HSA-2130731;R-HSA-8985988;R-HSA-6785898;R-HSA-9818010;R-HSA-8987033;R-HSA-5362500;R-HSA-8865693;R-HSA-879377;R-HSA-198941;R-HSA-879917;R-HSA-198955;R-HSA-879909;R-HSA-2395412;R-HSA-451895;R-HSA-2130706;R-HSA-2130194;R-HSA-5685605;R-HSA-9012671;R-HSA-879930;R-HSA-9025969;R-HSA-451900;R-HSA-8950218;R-HSA-2730860;R-HSA-9680348;R-HSA-508247;R-HSA-2213235;R-HSA-8983003;R-HSA-912734;R-HSA-2213236;R-HSA-2213239;R-HSA-2213241;R-HSA-2213243;R-HSA-2213244;R-HSA-2213246;R-HSA-451942;R-HSA-9705461;R-HSA-919404;R-HSA-9705458;R-HSA-5362486;R-HSA-166245;R-HSA-8983011;R-HSA-9705465;R-HSA-9705466;R-HSA-983422;R-HSA-210289;R-HSA-983421;R-HSA-937337;R-HSA-210298;R-HSA-6785821;R-HSA-508282;R-HSA-166271;R-HSA-2130336;R-HSA-199043;R-HSA-6789092;R-HSA-508292;R-HSA-2029469;R-HSA-8983309;R-HSA-2029466;R-HSA-2029465;R-HSA-199050;R-HSA-8983299;R-HSA-8983298;R-HSA-9006850;R-HSA-983427;R-HSA-3134883;R-HSA-2130349;R-HSA-199566;R-HSA-983426;R-HSA-8983300;R-HSA-2029459;R-HSA-983425;R-HSA-9691421;R-HSA-983424;R-HSA-9006873;R-HSA-6799350;R-HSA-199062;R-HSA-2396594;R-HSA-1015702;R-HSA-389532;R-HSA-1015699;R-HSA-9006870;R-HSA-449958;R-HSA-9830710;R-HSA-2213248;R-HSA-9706293;R-HSA-5660660;R-HSA-9830706;R-HSA-8985900;R-HSA-9674550;R-HSA-5660666;R-HSA-8983335;R-HSA-8985914;R-HSA-936381;R-HSA-202165;R-HSA-202168;R-HSA-202174;R-HSA-9674542;R-HSA-8985929;R-HSA-8983371;R-HSA-8983373;R-HSA-8983374;R-HSA-1236954;R-HSA-8855375;R-HSA-9674563;R-HSA-168915;R-HSA-8983384;R-HSA-9674562;R-HSA-8855381;R-HSA-913374;R-HSA-9674567;R-HSA-8985950;R-HSA-199131;R-HSA-8983379;R-HSA-8983378;R-HSA-9706319;R-HSA-1236943;R-HSA-8865626;R-HSA-8986985;R-HSA-6790022;R-HSA-9828209;R-HSA-1168373;R-HSA-202214;R-HSA-2559439;R-HSA-2130378;R-HSA-9817983;R-HSA-202216;R-HSA-199144;R-HSA-8983394;R-HSA-1369080;R-HSA-450027;R-HSA-9679740;R-HSA-1168894;R-HSA-6798743;R-HSA-453111;R-HSA-9828196;R-HSA-6790036;R-HSA-6798739;R-HSA-1236967;R-HSA-1236964;R-HSA-453104;R-HSA-1236965;R-HSA-6798751;R-HSA-9828205;R-HSA-2130393;R-HSA-1236971;R-HSA-9828204;R-HSA-202233;R-HSA-6798749;R-HSA-6798748;R-HSA-6798747;R-HSA-8985973;R-HSA-9705320;R-HSA-452091;R-HSA-9828200;R-HSA-9705323"
R-HSA-449147,"Signaling by Interleukins",28,646,0.04127004408100684,2.484223661225471E-7,8.83115896630482E-5,94,505,0.03330255869163809,9606,Homo sapiens,"IL32;ITGB1;STAT5B;ANXA1;ANXA2;ITGB2;MSN;RORA;TNFRSF1B;IL2RG;CCL5;CCL4;IL2RB;RAPGEF1;FYN;PTPN7","","R-HSA-6785895;R-HSA-452102;R-HSA-6793958;R-HSA-912527;R-HSA-452100;R-HSA-508292;R-HSA-8983309;R-HSA-452097;R-HSA-8983425;R-HSA-450063;R-HSA-8983424;R-HSA-452108;R-HSA-8983299;R-HSA-8983298;R-HSA-9006850;R-HSA-8987266;R-HSA-1295519;R-HSA-8983300;R-HSA-8985988;R-HSA-6785898;R-HSA-1295516;R-HSA-9006873;R-HSA-8987033;R-HSA-8865693;R-HSA-452122;R-HSA-6788346;R-HSA-913424;R-HSA-8963734;R-HSA-8983063;R-HSA-9006870;R-HSA-449958;R-HSA-879917;R-HSA-8985900;R-HSA-6786114;R-HSA-507937;R-HSA-1295540;R-HSA-879909;R-HSA-6786124;R-HSA-9009700;R-HSA-8983335;R-HSA-451895;R-HSA-8985914;R-HSA-9012671;R-HSA-879930;R-HSA-9025969;R-HSA-451900;R-HSA-8937654;R-HSA-8985929;R-HSA-8983371;R-HSA-8950218;R-HSA-8983373;R-HSA-6784160;R-HSA-8983374;R-HSA-6786095;R-HSA-448591;R-HSA-6786092;R-HSA-921155;R-HSA-508247;R-HSA-8983384;R-HSA-8983003;R-HSA-6786101;R-HSA-913374;R-HSA-912734;R-HSA-6786096;R-HSA-8985950;R-HSA-8950480;R-HSA-6786110;R-HSA-8983379;R-HSA-8983378;R-HSA-449115;R-HSA-8865626;R-HSA-451942;R-HSA-8986985;R-HSA-6790022;R-HSA-919404;R-HSA-6786050;R-HSA-6785165;R-HSA-8983011;R-HSA-8983394;R-HSA-6786058;R-HSA-450027;R-HSA-453111;R-HSA-6786070;R-HSA-6790036;R-HSA-9006844;R-HSA-453104;R-HSA-9008894;R-HSA-912629;R-HSA-6785821;R-HSA-8985973;R-HSA-508282;R-HSA-452091;R-HSA-912627;R-HSA-6786072"
R-HSA-1280215,"Cytokine Signaling in Immune system",38,1088,0.06950744266274836,3.634221796833259E-7,8.83115896630482E-5,144,785,0.05176734370878396,9606,Homo sapiens,"IL32;CAP1;ITGB1;STAT5B;ANXA1;ANXA2;ITGB2;HLA-B;MSN;SLA;RORA;TNFRSF1B;IL2RG;CCL5;CCL4;IL2RB;RAPGEF1;HLA-DPB1;FLNA;FYN;PTPN7;HLA-DPA1;BIRC3","","R-HSA-6785895;R-HSA-452102;R-HSA-452100;R-HSA-452097;R-HSA-8983425;R-HSA-450063;R-HSA-8983424;R-HSA-452108;R-HSA-8987266;R-HSA-8985988;R-HSA-6785898;R-HSA-9818010;R-HSA-8987033;R-HSA-1671691;R-HSA-5668417;R-HSA-1168393;R-HSA-9605259;R-HSA-8865693;R-HSA-1168394;R-HSA-452122;R-HSA-913424;R-HSA-8963734;R-HSA-879917;R-HSA-389159;R-HSA-6786114;R-HSA-5668467;R-HSA-507937;R-HSA-879909;R-HSA-1031716;R-HSA-6786124;R-HSA-1031713;R-HSA-5668454;R-HSA-451895;R-HSA-9012671;R-HSA-879930;R-HSA-9025969;R-HSA-451900;R-HSA-8937654;R-HSA-8950218;R-HSA-9733330;R-HSA-9733331;R-HSA-6786095;R-HSA-448591;R-HSA-6786092;R-HSA-921155;R-HSA-9680348;R-HSA-508247;R-HSA-9733316;R-HSA-8983003;R-HSA-6786101;R-HSA-912734;R-HSA-6786096;R-HSA-8950480;R-HSA-6786110;R-HSA-449115;R-HSA-9733323;R-HSA-5676598;R-HSA-451942;R-HSA-9705461;R-HSA-5676596;R-HSA-919404;R-HSA-5668404;R-HSA-5676597;R-HSA-5676595;R-HSA-6786050;R-HSA-9705458;R-HSA-5676593;R-HSA-5668414;R-HSA-8983011;R-HSA-6786058;R-HSA-9705465;R-HSA-9705466;R-HSA-6786070;R-HSA-9006844;R-HSA-9008894;R-HSA-6785821;R-HSA-508282;R-HSA-6786072;R-HSA-6793958;R-HSA-912527;R-HSA-508292;R-HSA-8983309;R-HSA-8983299;R-HSA-8983298;R-HSA-9006850;R-HSA-1295519;R-HSA-8983300;R-HSA-1295516;R-HSA-9006873;R-HSA-9680385;R-HSA-9680389;R-HSA-9680388;R-HSA-1015702;R-HSA-1015699;R-HSA-6788346;R-HSA-8983063;R-HSA-9006870;R-HSA-449958;R-HSA-9706293;R-HSA-8985900;R-HSA-9674550;R-HSA-1295540;R-HSA-8985123;R-HSA-9009700;R-HSA-8983335;R-HSA-8985914;R-HSA-9674542;R-HSA-5669097;R-HSA-8985929;R-HSA-8983371;R-HSA-9645137;R-HSA-8983373;R-HSA-6784160;R-HSA-8983374;R-HSA-9674563;R-HSA-8983384;R-HSA-9674562;R-HSA-913374;R-HSA-9674567;R-HSA-9645126;R-HSA-5668481;R-HSA-8985950;R-HSA-8983379;R-HSA-8983378;R-HSA-9706319;R-HSA-8865626;R-HSA-9645134;R-HSA-5668534;R-HSA-8986985;R-HSA-6790022;R-HSA-5668543;R-HSA-6785165;R-HSA-9817983;R-HSA-8983394;R-HSA-1369080;R-HSA-450027;R-HSA-1168894;R-HSA-453111;R-HSA-6790036;R-HSA-453104;R-HSA-912629;R-HSA-8985973;R-HSA-452091;R-HSA-912627"
R-HSA-383280,"Nuclear Receptor transcription pathway",10,86,0.005494154475180477,6.421407130474677E-7,1.1686960977463912E-4,2,2,1.3189132155104195E-4,9606,Homo sapiens,"RORA;NR3C1","","R-HSA-382096;R-HSA-376419"
R-HSA-6798695,"Neutrophil degranulation",22,478,0.030537277199258927,2.0287765682969194E-6,2.9620137897135024E-4,9,10,6.594566077552098E-4,9606,Homo sapiens,"CAP1;ANXA2;ITGB2;HLA-B;COMMD3;RAB27A;CYBA;IQGAP1;ITGAL;IQGAP2;TNFRSF1B;IGF2R;DIAPH1;ADGRE5;BIN2;COTL1;STOM;MBP;NCKAP1L;CTSC;S100A11;S100A10","","R-HSA-6798743;R-HSA-6799350;R-HSA-6798739;R-HSA-6800434;R-HSA-6798751;R-HSA-6798749;R-HSA-6798748;R-HSA-6798747;R-HSA-6800426"
R-HSA-6785807,"Interleukin-4 and Interleukin-13 signaling",12,211,0.013479844119338147,6.676944882733071E-5,0.008079103308107016,19,47,0.0030994460564494858,9606,Homo sapiens,"ITGB1;ANXA1;ITGB2;RORA;TNFRSF1B;IL2RG","","R-HSA-6785895;R-HSA-6793958;R-HSA-6790022;R-HSA-6786114;R-HSA-6786050;R-HSA-6786095;R-HSA-6786092;R-HSA-6786124;R-HSA-6786058;R-HSA-6785898;R-HSA-451895;R-HSA-6786070;R-HSA-6786101;R-HSA-6790036;R-HSA-6786096;R-HSA-6786110;R-HSA-6785821;R-HSA-6788346;R-HSA-6786072"
R-HSA-195258,"RHO GTPase Effectors",15,325,0.02076279307480994,8.764976654396239E-5,0.009115575720572089,43,113,0.00745185966763387,9606,Homo sapiens,"ITGB1;WIPF1;PRKCB;CYBA;IQGAP1;PPP2R5C;IQGAP2;DIAPH1;MYL6;CLIP1;FMNL1;FLNA;NCKAP1L;EMB","","R-HSA-5665686;R-HSA-5666070;R-HSA-5668629;R-HSA-2029469;R-HSA-5218827;R-HSA-2029466;R-HSA-5665809;R-HSA-5666129;R-HSA-2029465;R-HSA-5668932;R-HSA-9626817;R-HSA-5665989;R-HSA-5669250;R-HSA-5218841;R-HSA-5663232;R-HSA-5666049;R-HSA-2197691;R-HSA-2197690;R-HSA-5665802;R-HSA-5626507;R-HSA-5672329;R-HSA-5626549;R-HSA-2197698;R-HSA-5668978;R-HSA-5672304;R-HSA-419232;R-HSA-5666160;R-HSA-442592;R-HSA-5665982;R-HSA-5666046;R-HSA-5668735;R-HSA-5668605;R-HSA-5668731;R-HSA-5665659;R-HSA-5669240;R-HSA-5666169;R-HSA-5626469;R-HSA-9626848;R-HSA-2130194;R-HSA-5668718;R-HSA-5671919;R-HSA-419197;R-HSA-5668714"
R-HSA-9725371,"Nuclear events stimulated by ALK signaling in cancer",6,56,0.003577588960582636,1.81191882216436E-4,0.016488461281695677,5,32,0.0021102611448166712,9606,Homo sapiens,"MECP2;PRF1;GZMB","","R-HSA-9851088;R-HSA-9701810;R-HSA-9851084;R-HSA-9701903;R-HSA-9851131"
R-HSA-194315,"Signaling by Rho GTPases",23,708,0.04523094614450904,2.5712895778307043E-4,0.017925809727254105,74,203,0.013386969137430756,9606,Homo sapiens,"ITGB1;IL32;WIPF1;PRKCB;ARAP2;CYBA;IQGAP1;PPP2R5C;IQGAP2;AKAP13;DIAPH1;PREX1;MYL6;CLIP1;FMNL1;SPATA13;RAPGEF1;EFHD2;FLNA;STOM;NCKAP1L;EMB","","R-HSA-2029469;R-HSA-2029466;R-HSA-9018766;R-HSA-5666129;R-HSA-2029465;R-HSA-8981637;R-HSA-9018758;R-HSA-9013145;R-HSA-9014424;R-HSA-9014296;R-HSA-9013144;R-HSA-5668932;R-HSA-5665989;R-HSA-9013023;R-HSA-9013009;R-HSA-9017491;R-HSA-2197691;R-HSA-2197690;R-HSA-9693198;R-HSA-9013143;R-HSA-9014294;R-HSA-9013161;R-HSA-9018794;R-HSA-5668978;R-HSA-5672304;R-HSA-419232;R-HSA-5666160;R-HSA-9014433;R-HSA-5666046;R-HSA-9013024;R-HSA-5668735;R-HSA-9017507;R-HSA-5668605;R-HSA-9013157;R-HSA-5668731;R-HSA-5665659;R-HSA-5669240;R-HSA-9013159;R-HSA-5666169;R-HSA-5626469;R-HSA-9018808;R-HSA-2130194;R-HSA-9014449;R-HSA-5668718;R-HSA-5671919;R-HSA-5668714;R-HSA-9018804;R-HSA-9018806;R-HSA-5665686;R-HSA-5666070;R-HSA-5668629;R-HSA-5218827;R-HSA-5665809;R-HSA-9626817;R-HSA-5669250;R-HSA-5218841;R-HSA-5663232;R-HSA-9693125;R-HSA-5666049;R-HSA-8980691;R-HSA-5665802;R-HSA-5626507;R-HSA-5672329;R-HSA-5626549;R-HSA-2197698;R-HSA-442592;R-HSA-5665982;R-HSA-9690493;R-HSA-9626848;R-HSA-9018747;R-HSA-9018746;R-HSA-419197;R-HSA-9013109;R-HSA-9013110"
R-HSA-6783783,"Interleukin-10 signaling",7,86,0.005494154475180477,2.812048499597486E-4,0.017925809727254105,2,15,9.891849116328145E-4,9606,Homo sapiens,"CCL5;CCL4;TNFRSF1B","","R-HSA-6784160;R-HSA-8937654"
