"","PC1"
"APBB2",0.0321256783292418
"ATF3",0.0260582316721719
"ATP9A",0.00393871945614243
"BMF",0.0116461806516148
"BTNL8",0.00542204421233841
"CARMIL3",0.0132029984998968
"CCDC6",0.0198835084560919
"CCL22",0.00519505778573289
"COL9A2",0.00220973192949334
"DMD",0.0120427935002036
"DUSP5",0.00708496018418646
"ELL2",0.0217365018715875
"EPAS1",0.00340089657545542
"GNAI1",0.0182188513251951
"GNLY",0.0153887412560047
"HMSD",0.00623144234085423
"IFNG",0.00741943833774472
"IGLON5",0.0232548616047462
"ING3",0.0381061578511174
"IQCJ.SCHIP1",0.0194731557111676
"ITPRIPL2",0.00648592298702923
"LMNA",0.00466741462730761
"MAP1LC3A",0.00838680769119633
"MICALCL",0.0028979635140823
"MTSS1",0.00377031515513832
"MYH6",0.00629893375750927
"NCALD",0.0108114599731558
"PDLIM4",0.00561271549087521
"PLS3",0.00862740176496152
"PMCH",0.0222843230382059
"POU2AF1",0.000440648883603672
"PPARG",0.00486739844868704
"PTGS2",0.00823547781437782
"PTPN3",0.0287613920068072
"RDH10",0.0166634507959733
"RGCC",0.00588956704662761
"RNF19B",0.0390993057122037
"RRAD",0.0302929858373417
"SGPP2",0.017698550639883
"SHC4",0.0123114835229576
"SHF",0.0199331289077891
"SNAP25",0.00859807508837807
"TIAM2",0.00212961689921653
"TIE1",0.0219761140150492
"TNFRSF4",0.000645555724155489
"TNIP3",0.018255118085822
"TP63",0.017455354799571
"UBXN10",0.0160569286428227
"WLS",4.33722324498366e-05
"ZC3H12C",0.0126474533331234
"ZC3H12D",0.00125812153373493
"ZNF282",0.00952697603920554
