"","PC1"
"ADGRD1",0.000328911406765641
"ADGRG1",0.00114329075089963
"AHI1",0.00559775160651949
"APBB2",0.0177771900371843
"ARNT2",0.00138059490701973
"ATF3",0.0159932286352682
"ATP9A",0.00481902553052244
"BARX2",0.00619557970921644
"BMF",0.0119797301032793
"BTNL8",0.00921431815755
"CARMIL3",0.018325909938903
"CAVIN3",1.8581707800458e-05
"CCDC6",0.0161942429499143
"CCL22",0.0136161182550812
"CLECL1",0.00422090707894861
"COL9A2",0.009484137117906
"CRTAM",0.00286867258680064
"CTTN",0.0012146326164333
"CXCL10",0.000864992201594073
"DMD",0.0119492419523104
"DOK5",0.00262037292363089
"DUSP5",0.0144263936382538
"ELL2",0.0139167538458446
"EPAS1",0.0092938483513753
"G0S2",0.00172815823334753
"GDF10",0.00235801909501345
"GEM",0.0091301284977024
"GNAI1",0.01443779368259
"GNLY",0.0128444253739737
"H1F0",0.000884744903896269
"HMOX1",0.00597311261450859
"HMSD",0.00709107054677013
"IFNG",0.00880438866456607
"IGLON5",0.0134886974795138
"IL26",0.00251440070289585
"ING3",0.028924832652866
"IQCJ.SCHIP1",0.0182074941721823
"ITPRIPL2",0.00960937530691887
"KIR2DL4",0.00482296552011062
"KLRC1",0.00102207540507372
"KRT79",0.000603604364209138
"LMNA",0.0071861878367381
"MAGI1",0.00224522571442812
"MAP1LC3A",0.00958529961593142
"MICALCL",0.00865179131025053
"MT2A",0.00525549666936088
"MTSS1",0.00801680553385873
"MYH6",0.00680096719058182
"NCALD",0.0099386175202121
"PDLIM4",0.0050421907033346
"PLS3",0.00685847307425847
"PMCH",0.0142715214294305
"PPARG",0.0096389384352309
"PTGS1",0.00324209653631909
"PTGS2",0.00708058556896798
"PTPN3",0.0158955108064502
"RCAN1",0.00426425741850576
"RDH10",0.0135071427297337
"RGCC",0.0139438601093427
"RNF19B",0.0263180592404372
"RRAD",0.0159052505032625
"SGPP2",0.0134158791961773
"SHC4",0.0104989304463869
"SHF",0.0148276052656702
"SLC41A2",0.00446124322964636
"SNAP25",0.00748732762926262
"SNX33",0.00710687796978917
"TIAM2",0.00718730972737497
"TIE1",0.0138070200336587
"TNFRSF18",0.000642114097097494
"TNFRSF4",0.00462591326204476
"TNIP3",0.0154854574956375
"TNS3",0.00501610669325457
"TP63",0.012338917685569
"TPRG1",0.000978858954016425
"UBE2QL1",0.00149604420385857
"UBXN10",0.0159917266037807
"WLS",0.00597157165010448
"ZC3H12C",0.0106166708516614
"ZC3H12D",0.00707861393280735
"ZNF282",0.0122179339767333
"ZNF438",0.000506733521807985
"ZNF704",0.00244243058309615
