"","PC1"
"ADGRD1",0.000546438260066714
"ADGRG1",0.000420812653065312
"AHI1",0.0053523535600613
"APBB2",0.0174210899424675
"ARNT2",0.00107438975890643
"ATF3",0.0157686126685277
"ATP9A",0.00471057452725826
"BARX2",0.00607217558991564
"BMF",0.0118157425688125
"BTNL8",0.00905188088650735
"CARMIL3",0.0183949879681158
"CAVIN3",2.74431581193679e-05
"CCDC6",0.0160702916818705
"CCL22",0.0128749187782652
"CLECL1",0.00433379012995207
"COL9A2",0.00941413354304585
"CRTAM",0.00278421822992293
"CTTN",0.00143032885597732
"CXCL10",0.000914499707159265
"DMD",0.0118468103440899
"DOK5",0.00279070129102015
"DUSP5",0.0140986134367717
"ELL2",0.0137054225820158
"EPAS1",0.0092594408957228
"G0S2",0.00174468948008883
"GDF10",0.00244430796909454
"GEM",0.00899376113683508
"GNAI1",0.0143561864582303
"GNLY",0.0126967986157849
"H1F0",0.000938529117339582
"HMOX1",0.00520807859329408
"HMSD",0.00692936607195134
"IFNG",0.00857205281581707
"IGLON5",0.0133821777519073
"IL26",0.00248219415761834
"ING3",0.0282895389015032
"IQCJ.SCHIP1",0.0177679694446702
"ITPRIPL2",0.00958605137479991
"KIR2DL4",0.00460724161408284
"KLRC1",0.000784020580015828
"KRT79",0.000774701527100715
"LMNA",0.00720146078917293
"MAGI1",0.00228167908208983
"MAP1LC3A",0.00984351844806356
"MICALCL",0.00840593044663275
"MT2A",0.00547372306212382
"MTSS1",0.00792473233228859
"MYH6",0.0069391965190406
"NCALD",0.0099190791436938
"PDLIM4",0.00508206809029198
"PLS3",0.00695073890007102
"PMCH",0.0143146927876661
"PPARG",0.00989009494517957
"PTGS1",0.00317390687428364
"PTGS2",0.00703296510149525
"PTPN3",0.0159411027289251
"RCAN1",0.00435753648277094
"RDH10",0.0134755450571338
"RGCC",0.0139379682529805
"RNF19B",0.0260960677454813
"RRAD",0.0158693193658499
"SGPP2",0.0132671464090699
"SHC4",0.0104510713099764
"SHF",0.0148088851134914
"SLC41A2",0.00450336223107311
"SNAP25",0.00747419523968018
"SNX33",0.00710818068191402
"TIAM2",0.00722283417631252
"TIE1",0.0137222094072574
"TNFRSF18",0.000656512026142827
"TNFRSF4",0.00449602435718781
"TNIP3",0.0153636405336754
"TNS3",0.00484091983755561
"TP63",0.0124239850951473
"TPRG1",0.000994002840576389
"UBE2QL1",0.0016033071686198
"UBXN10",0.0157973473727047
"WLS",0.00578098516719522
"ZC3H12C",0.010603540830138
"ZC3H12D",0.0068742119462187
"ZNF282",0.0122422590346144
"ZNF438",0.000326498493642467
"ZNF704",0.00231037355242665
