"","PC1"
"AC068775.2",0.00444035785001826
"ACTG2",0.00348593196687307
"ADCY1",0.00549609194875708
"ADGRD1",0.0048643264441515
"ADGRG1",0.00449004635497212
"AFAP1L2",0.00269886540128298
"AHI1",0.00479319001021865
"APBB2",0.00377339736789296
"APOBEC3B",0.00301091073525462
"APOD",0.0028390522256481
"AREG",0.0011275733331159
"ARNT2",0.00573557753985033
"ATF3",0.00381053586473531
"ATP9A",0.00379022268438997
"BARX2",0.00375298696845556
"BATF3",0.00218448535878686
"BCAT1",0.00336459500109284
"BMF",0.00518623632177935
"BTNL8",0.00635427146162193
"C3",0.00575636592187916
"C4orf26",0.0043540312608509
"CABLES1",0.00327958727708158
"CARMIL3",0.00478794238017576
"CAVIN3",0.00283132022314527
"CCDC6",0.00501467585062731
"CCL22",0.00558167893688683
"CCL3",0.00227399763134832
"CCL3L3",0.00331861400635132
"CCL4",0.00336399828632044
"CCL4L2",0.0025363262712512
"CDHR1",0.00557220031914209
"CEBPD",0.000811313111688141
"CLECL1",0.00466766783464162
"CLIC4",0.00455816995919507
"COL6A5",0.00581918716696732
"COL9A2",0.00530091763287596
"CRTAM",0.00490370383171842
"CRYAB",0.00468089830889823
"CSF1",0.00205661503589792
"CST6",0.00557830397431392
"CTSB",0.00351032868212932
"CTSH",0.00397956362483204
"CTTN",0.00397236334529415
"CXCL10",0.00339100599983425
"CYP1B1",0.00259346866004178
"CYP7B1",0.00580703104430383
"DAPK2",0.00484081594068673
"DMD",0.00409974240551982
"DNAJB13",0.00373941066826833
"DNAJC12",0.00337314648617917
"DOK5",0.00335055553643052
"DTHD1",0.00377621881004627
"DUSP4",0.00254943469856464
"DUSP5",0.00484567494633562
"DUSP8",0.000476715626623349
"EBI3",0.00385408872939575
"EDARADD",0.00397230540860159
"EGR2",0.00234790460277197
"ELL2",0.00418544440158839
"EMP1",0.0032248207242435
"EPAS1",0.00430253113413752
"EVI5",0.004572428596128
"FADS3",0.0063501340353612
"FAM43A",0.00433197783626744
"FBXO32",0.00504579013082356
"FOSB",-0.000121769426219082
"FXYD6",0.00496249524216495
"G0S2",0.00325941644664597
"GDF10",0.00516871744775741
"GEM",0.00427040928588117
"GNAI1",0.00584546855952069
"GNG4",0.00481100602889652
"GNLY",0.0029986749286247
"GZMB",0.00244524854915524
"H1F0",0.00352418711811736
"HLF",0.00409970171987114
"HLX",0.00304796539968706
"HMOX1",0.00660885541666337
"HMSD",0.00477640303048824
"HNF1B",0.00337700157875602
"IFNG",0.00399961662183013
"IGF1",0.00440988106789235
"IGLON5",0.0042433227358888
"IL1A",0.00513676229503637
"IL26",0.00395107022318571
"IL2RA",0.00174036023402424
"ING3",0.0061060744674144
"IQCJ.SCHIP1",0.0055333210121216
"ITGA9",0.00590843961564342
"ITPRIPL2",0.00441700513971106
"KDM6B",0.00439992450989327
"KIR2DL4",0.00486172990468006
"KIR3DX1",0.00501332073369046
"KLF4",0.00330508896904341
"KLRC1",0.00480277177463809
"KLRC2",0.00483957893450685
"KLRD1",0.00477320601022301
"KRT3",0.00485931519593938
"KRT79",0.00562174616040107
"LAIR2",0.00382777690121049
"LAYN",0.00304071796818433
"LMCD1",0.00404782346040641
"LMNA",0.00309986900966128
"MAGI1",0.00557948699780926
"MAP1LC3A",0.00641339419257856
"MB21D2",0.00372694953323123
"MEST",0.0036684890694477
"METRNL",0.0038273695913066
"MICALCL",0.0058753050765319
