"","PC1"
"AC068775.2",0.00441964525970555
"ACTG2",0.00347085364052371
"ADCY1",0.00546435598835745
"ADGRD1",0.00483044164068131
"ADGRG1",0.0044599917733002
"AFAP1L2",0.00267885600680536
"AHI1",0.00476184619673024
"APBB2",0.00374879007555956
"APOBEC3B",0.0029907709286486
"APOD",0.00281951795918349
"AREG",0.00110546413856963
"ARNT2",0.00570353209164162
"ATF3",0.003784193869122
"ATP9A",0.00376758455194097
"BARX2",0.00372963666515612
"BATF3",0.00216860938364123
"BCAT1",0.00333942363812559
"BMF",0.00515400756457509
"BTNL8",0.00631743738857554
"C3",0.00574165956929987
"C4orf26",0.00431916607382938
"CABLES1",0.00326233179944523
"CARMIL3",0.00475803455366157
"CAVIN3",0.00281442097032309
"CCDC6",0.00498313752372719
"CCL22",0.0055534639660071
"CCL3",0.00225439755147851
"CCL3L3",0.00328626346168061
"CCL4",0.00333615598760247
"CCL4L2",0.00251614924901289
"CDHR1",0.00554290529036088
"CEBPD",0.000804261500620375
"CLECL1",0.00463513581310219
"CLIC4",0.00452926668344669
"COL6A5",0.00579413487278409
"COL9A2",0.00527600696573107
"CRTAM",0.00486801052370992
"CRYAB",0.00465200347934007
"CSF1",0.00204385932060162
"CST6",0.00555062935972479
"CTSB",0.00348712928258483
"CTSH",0.00395106769080859
"CTTN",0.0039485683099025
"CXCL10",0.00336536102096075
"CYP1B1",0.00257743606055528
"CYP7B1",0.00577703857251675
"DAPK2",0.00480582437586713
"DMD",0.00407185113270906
"DNAJB13",0.00372707451287472
"DNAJC12",0.00335564208457441
"DOK5",0.00332928384164007
"DTHD1",0.00375176530985412
"DUSP4",0.00253058163194984
"DUSP5",0.00480986438218173
"DUSP8",0.000472484216839195
"EBI3",0.00383009527398665
"EDARADD",0.00394818710186207
"EGR2",0.00233229162781614
"ELL2",0.00415971152378124
"EMP1",0.0031978114969547
"EPAS1",0.00426816713615575
"EVI5",0.00454960776957657
"FADS3",0.00631526045978162
"FAM43A",0.00430103674265331
"FBXO32",0.00501589062074934
"FOSB",-0.000124634163020567
"FXYD6",0.00493932759947328
"G0S2",0.00323915416609601
"GDF10",0.00513953966340362
"GEM",0.00423827462884406
"GNAI1",0.00580300155068556
"GNG4",0.00477515675143554
"GNLY",0.00297597312579464
"GZMB",0.00242688543567321
"H1F0",0.00349991103675182
"HLF",0.00407464426816274
"HLX",0.00302399651644186
"HMOX1",0.00656796155429781
"HMSD",0.0047444674987224
"HNF1B",0.0033598852351367
"IFNG",0.00396977600595396
"IGF1",0.00438886565652787
"IGLON5",0.0042153564002972
"IL1A",0.00510918972191375
"IL26",0.00392416561120293
"IL2RA",0.00172800267386308
"ING3",0.0060655767996505
"IQCJ.SCHIP1",0.0054988511399859
"ITGA9",0.00588301488587713
"ITPRIPL2",0.00439040337459858
"KDM6B",0.00437165657971175
"KIR2DL4",0.00482972956164224
"KIR3DX1",0.00497109765892476
"KLF4",0.00327672004196428
"KLRC1",0.00477054669214956
"KLRC2",0.00481315110320188
"KLRD1",0.00473734008967297
"KRT3",0.00484578226843596
"KRT79",0.00559423387940251
"LAIR2",0.0037979035352156
"LAYN",0.0030234378080637
"LMCD1",0.0040287151561292
"LMNA",0.00307951239417194
"MAGI1",0.00555000309929538
"MAP1LC3A",0.00637268164017295
"MB21D2",0.00369761352984303
"MEST",0.00364497993879729
"METRNL",0.00379045938698946
"MICALCL",0.00583198787684612
"MRGPRX2",0.00481502374214592
"MSC",0.00254692528156981
"MT1E",0.00342892160435539
"MT1X",0.00397092091649223
"MT2A",0.00499268695061973
"MTSS1",0.00353244495229544
"MTURN",0.00513503234262776
"MYH6",0.00286573893878942
"MYL3",0.00370435764797933
"NCALD",0.00516577066494363
"NCAM1",0.00470862881525006
"NR4A1",0.00265976145943381
"NR4A2",9.96549285788949e-05
"NR4A3",0.00260353249658779
"NTRK1",0.00292548477807367
"OLIG3",0.00457309168722255
"PDGFA",0.00395099191132365
"PDLIM4",0.00280288497574793
"PHEX",0.00392105100286055
"PIK3AP1",0.00434532144566468
"PIP5K1B",0.00354040082258178
"PLA2G4C",0.00485233235324209
"PLK2",0.00103343197327908
"PLS3",0.00384253472623967
"PMCH",0.00362538778612041
"POU2AF1",0.00485218422550676
"PPARG",0.00534796156235064
"PRSS23",0.00538287066707433
"PTGS1",0.00354596112684778
"PTGS2",0.00292213472783889
"PTPN14",0.0040840791801534
"PTPN3",0.00389459471326251
"RAB32",0.00541628392586194
"RAB6B",0.00383486488252124
"RAMP1",0.00304761728302947
"RASGEF1B",0.0042150365039292
"RCAN1",0.00500975987033897
"RDH10",0.00376450978824214
"REEP2",0.00461661485738935
"RGCC",0.00594518785254028
"RGS1",0.00103427645144358
"RGS16",0.00260447411114653
"RGS2",0.00121868270250751
"RHOB",0.00281229696028188
"RNF19A",0.00456326375588028
"RNF19B",0.00579358684560347
"RRAD",0.00295395108856269
"SECTM1",0.00370650704379125
"SELENOM",0.000769856873073687
"SEMA3D",0.00568694176531254
"SERPINE1",0.00385990336530565
"SGPP2",0.00550716630657772
"SHC4",0.00347481267140925
"SHF",0.00384243166407634
"SLC39A14",0.00308100363113102
"SLC41A2",0.00420470388786442
"SNAP25",0.00279195587766952
"SNX33",0.00664275012001467
"SNX9",0.00430449492635338
"SOX4",0.0049047715735591
"SYNGR3",0.00499876450600834
"TIAM2",0.00391547705950655
"TIE1",0.00312329722177956
"TIGIT",0.0043585669498295
"TMEM88",0.000699918489843236
"TNFAIP3",0.00256572085004473
"TNFRSF18",0.00339589764391524
"TNFRSF4",0.00299601933896376
"TNFRSF9",0.00315309072181967
"TNIP3",0.00535855365638058
"TNNT2",0.00231184335771017
"TNS3",0.00397806916563832
"TP63",0.00433202634824846
"TPM1",0.00457259831164637
"TPRG1",0.00368623103310525
"TRIB1",0.00371092791581215
"TSC22D3",0.00081551134505812
"TWIST1",0.00436827558696476
"UBE2QL1",0.00589916933428542
"UBXN10",0.00528063586625591
"UCP3",0.00247036886806642
"VDR",0.00247256433281806
"WLS",0.00524163196172073
"XKRX",0.00623596026893958
"ZBED2",0.0020187628858544
"ZC3H12C",0.00343059805340848
"ZC3H12D",0.00508739293584665
