Gene,Tc1,Tc2,Tc9,Tc17,Tc22
IFNG,1,0,0,0,0
TNF,1,0,0,0,1
IL2,0,0,0,0,1
IL4,0,1,0,0,0
IL5,0,1,0,0,0
IL9,0,0,1,0,0
IL13,0,1,0,0,0
IL17A,0,0,0,1,0
IL17F,0,0,0,1,0
IL21,0,0,0,1,0
IL22,0,0,0,1,1
TBX21,1,0,0,0,0
EOMES,1,0,0,0,0
STAT3,0,0,0,1,0
STAT4,1,0,0,0,0
STAT6,0,1,1,0,0
GATA3,1,0,0,0,0
IRF4,0,0,1,1,0
RORC,0,0,0,1,0
AHR,0,0,0,0,1
IL18R1,1,0,0,0,0
IL23R,0,0,0,1,0
PTGDR2,0,1,0,0,0
CD38,0,0,0,1,0
CD86,0,0,0,1,0
CD101,0,0,0,1,0
KLRB1,0,0,0,1,0
CCR6,0,0,0,1,0
TNFRSF9,0,0,0,1,0
