,PC1
SNAP25,0.047596214
MYH6,0.047415965
RRAD,0.048992511
TNNT2,0.033969231
GNLY,0.048242895
PTGS2,0.04433835
APOD,0.039933559
TIE1,0.048572985
CXCL10,0.044753043
FOSB,0.02846145
PDLIM4,0.046070542
HLX,0.039045925
DOK5,0.045976405
RGS16,0.042338662
TNFRSF4,0.045784121
RHOB,0.047357897
CAVIN3,0.044789075
G0S2,0.0449292
ATP9A,0.047208152
PTGS1,0.045677028
BARX2,0.046403689
LMNA,0.045288492
APBB2,0.048813942
MTSS1,0.045948486
RGS2,0.041104426
NR4A3,0.023896014
RAB6B,0.046375193
EMP1,0.04196107
PMCH,0.047299327
CCL3,0.041529008
CCL4L2,0.026991047
CCL4,0.041296433
CTTN,0.045876638
CYP1B1,0.040181914
SHF,0.047382508
H1F0,0.044616236
IGLON5,0.047213086
CCL3L3,0.029971922
RGS1,0.025791301
PTPN3,0.048560574
SHC4,0.048230815
ZC3H12C,0.04799314
CEBPD,0.039757264
EPAS1,0.046466344
GEM,0.044314144
TP63,0.047023497
ATF3,0.048021847
METRNL,0.043920038
TNFRSF18,0.046030051
ZBED2,0.040945257
EGR2,0.033217768
MT1E,0.032925365
TSC22D3,0.045307992
RDH10,0.047105144
IL26,0.042535458
PTPN14,0.044075758
SNX9,0.042916945
HLF,0.042892485
NTRK1,0.044695709
C4orf26,0.04081406
EDARADD,0.042142333
DUSP5,0.047488184
IFNG,0.043750239
NR4A1,0.018138155
MEST,0.044255214
PDGFA,0.0422699
CTSH,0.039326829
AFAP1L2,0.046140956
CARMIL3,0.048170659
HNF1B,0.036231625
MYL3,0.033608661
NR4A2,0.027566206
LMCD1,0.038146153
DNAJC12,0.040923251
ADGRG1,0.046966988
TWIST1,0.042068682
BCAT1,0.045636624
ADGRD1,0.046209965
TIAM2,0.045573211
KIR2DL4,0.045300228
PLS3,0.047636686
PHEX,0.039410594
SOX4,0.045535813
SLC39A14,0.045419563
DMD,0.047945079
BATF3,0.038908868
GZMB,0.044184484
GDF10,0.046229718
HMSD,0.045443332
TMEM88,0.021825141
PIP5K1B,0.046158837
TNFRSF9,0.039384382
RAMP1,0.0351299
LAIR2,0.034142487
IL1A,0.045177916
FXYD6,0.043188327
GNG4,0.039337374
FAM43A,0.044183351
EBI3,0.044851556
POU2AF1,0.044151892
ZEB2,0.042486592
MSC,0.02480822
SERPINE1,0.029730512
SLC41A2,0.046238231
WLS,0.044691045
MT2A,0.046966014
SECTM1,0.028587042
ELL2,0.048244224
CRTAM,0.042126496
KLRC2,0.044237926
PIK3AP1,0.044827002
PPARG,0.046470861
TPRG1,0.046016181
SGPP2,0.047807425
OLIG3,0.038621994
VDR,0.045111515
DTHD1,0.0429458
TRIB1,0.039559583
TNS3,0.046412272
PLA2G4C,0.038966011
TPM1,0.036212873
FBXO32,0.044042605
UBXN10,0.045358779
ITPRIPL2,0.046636512
BMF,0.044099287
SELENOM,0.047555543
IGF1,0.043496702
TNFAIP3,0.042537436
RASGEF1B,0.038357767
MT1X,0.029653249
DAPK2,0.036371463
DUSP4,0.042169439
KLRD1,0.046197009
CCL22,0.044251047
TIGIT,0.034193781
AC068775.2,0.040495474
ZNF282,0.049390529
ADCY1,0.043623693
CSF1,0.04668522
CRYAB,0.036644225
RNF19B,0.047288334
ARNT2,0.045344016
UCP3,0.033805889
IQCJ.SCHIP1,0.045282082
COL9A2,0.045907218
CCDC6,0.048044864
ZNF704,0.043219993
MAGI1,0.044451757
CDHR1,0.044619286
AREG,0.035447701
RGCC,0.045111847
KDM6B,0.035615854
DNAJB13,0.034280592
CABLES1,0.034996048
MTURN,0.041511278
CLECL1,0.044555018
GNAI1,0.046750106
DUSP8,0.039440526
NCAM1,0.03242303
ZNF438,0.04295746
UBE2QL1,0.045748274
CYP7B1,0.044136406
RCAN1,0.044555855
MB21D2,0.041916827
RAB32,0.041041054
KLRC1,0.046194041
APOBEC3B,0.036583957
LAYN,0.037180474
CTSB,0.046283755
PRSS23,0.04309947
ACTG2,0.022981141
C3,0.045694091
ITGA9,0.045016133
IL2RA,0.04193871
MRGPRX2,0.032469989
CLIC4,0.044278624
FADS3,0.04763349
PLK2,0.038271911
KRT3,0.035014279
MICALCL,0.043822575
BTNL8,0.045738259
KIR3DX1,0.039260419
KLF4,0.035394502
KRT79,0.044323474
XKRX,0.045789856
COL6A5,0.040248303
MAP1LC3A,0.045218401
TNIP3,0.046592001
ING3,0.046722112
RNF19A,0.043822561
AHI1,0.044276502
SEMA3D,0.039166099
ZC3H12D,0.045352631
REEP2,0.043499896
SNX33,0.045990687
NCALD,0.046752823
HMOX1,0.045706672
CST6,0.04348184
SYNGR3,0.044210269
EVI5,0.036562843
